School No.,School Name,County,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017
A260,Aboite Christian School,Huntington,-,-,*,27,36,35
C905,Adventist Christian Elementary,Monroe,-,-,-,*,10,*
A515,All Saints Catholic School,Cass,*,19,55,68,-,-
B806,Ambassador Christian Academy,Lake,110,156,257,206,210,154
C250,Anderson Christian School,Madison,-,12,30,24,37,40
B760,Andrean High School,Lake,41,61,114,134,174,161
B755,Aquinas School at Saint Andrew's,Lake,11,31,43,64,78,79
A248,Ascension Lutheran School,Allen,*,*,32,66,78,86
B764,Avicenna Academy,Lake,-,*,11,22,29,20
C575,Baptist Academy,Marion,41,82,126,139,105,65
B015,Bethany Christian School,Elkhart,28,62,116,129,146,158
B290,Bethesda Christian School,Hendricks,*,14,37,81,92,110
C705,Bishop Chatard High School,Marion,19,45,95,142,170,194
A120,Bishop Dwenger High School,Allen,22,43,145,344,422,450
A125,Bishop Luers High School,Allen,58,109,200,303,343,391
B970,Bishop Noll Institute,Lake,40,94,134,202,260,276
A172,Blackhawk Christian Elementary School,Allen,31,71,137,183,209,246
A170,Blackhawk Christian Jr/Sr High School,Allen,13,41,79,132,145,156
C360,Brebeuf Jesuit Preparatory School,Marion,11,15,33,46,68,85
C396,Burge Terrace Christian School,Marion,-,-,-,38,43,40
B815,Calumet Christian School,Lake,-,-,25,45,72,106
C580,Calvary Christian School,Marion,32,56,109,133,132,124
C315,Calvary Lutheran School,Marion,20,40,80,111,120,113
C690,Capitol City Seventh Day Adventist Church School,Marion,*,25,47,51,30,24
C715,Cardinal Ritter High School,Marion,61,111,211,252,298,330
C700,Cathedral High School,Marion,18,48,126,196,247,250
D415,Central Catholic Jr/Sr High School,Tippecanoe,*,17,51,120,148,168
C625,Central Catholic School,Marion,44,77,146,166,177,188
A249,Central Christian School,Allen,11,44,78,99,95,96
A370,Central Lutheran School,Allen,-,-,-,134,162,160
C585,Christ The King School,Marion,15,31,61,107,107,98
D230,Christ The King School,St Joseph,*,17,46,98,123,135
D545,Christ The King School,Vanderburgh,*,16,39,38,49,48
B045,Christian Academy of Indiana,Floyd,17,46,103,169,206,229
B493,Christian Academy of Madison,Jefferson,*,49,75,86,72,76
B195,Cicero Adventist School,Hamilton,-,*,*,-,-,-
B985,City Baptist Schools,Lake,-,16,-,-,-,-
C933,Clear Creek Christian School,Monroe,*,13,24,37,40,40
A479,ClearView Education,Boone,-,*,-,-,-,-
A875,Clinton Christian School,Elkhart,-,16,36,81,116,133
C495,Colonial Christian School,Marion,-,-,21,60,88,91
A450,Columbus Christian School Inc.,Bartholomew,30,56,100,139,118,122
D305,Community Baptist Christian School,St. Joseph,-,-,53,95,109,116
D862,Community Christian School,Wayne,*,12,33,42,48,44
A205,Concordia Evangelical Lutheran School,Allen,-,42,83,193,227,246
A195,Concordia Lutheran High School,Allen,21,45,87,292,366,397
C281,Cornerstone Baptist Academy,Marion,-,-,65,63,83,83
A236,Cornerstone College Preparatory School,Allen,92,114,88,113,127,122
D235,Corpus Christi School,St Joseph,*,13,42,69,77,80
D550,Corpus Christi School,Vanderburgh,-,*,13,34,48,49
B469,Covenant Christian High School,Jasper,*,*,19,41,49,35
C527,Covenant Christian High School,Marion,21,36,36,78,86,100
D189,Covenant Christian School,St Joseph,*,21,48,71,75,83
B085,Covington Christian School,Fountain,*,15,28,33,27,19
C215,Cross Street Christian School,Madison,-,-,-,*,16,28
B009,Crossing Educational Center,Elkhart,-,-,39,109,286,276
C514,Crosspointe Christian Academy,Marion,-,-,23,52,62,98
A275,Crossroad Academy,Allen,#N/A,#N/A,#N/A,-,-,13
B771,Crown Point Christian School,Lake,-,-,-,93,104,122
C223,Delaware Christian Academy,Delaware,-,-,*,73,85,44
B470,DeMotte Christian School,Jasper,11,39,87,145,145,137
C112,Door Prairie Adventist School,LaPorte,-,24,21,23,*,-
A990,Elkhart Christian Academy,Elkhart,22,71,122,131,195,236
B160,Eman Schools,Hamilton,*,38,79,95,111,121
A215,Emmanuel Saint Michael Lutheran School,Allen,-,21,76,140,154,162
A220,Emmaus Lutheran School,Allen,16,36,50,70,88,94
C680,Emmaus Lutheran School,Marion,*,*,15,16,13,14
D485,Evansville Christian School,Vanderburgh,10,53,167,271,294,330
D525,Evansville Day School,Vanderburgh,*,*,*,*,39,38
D526,Evansville Day School PK-08,Vanderburgh,*,11,18,26,-,-
D625,Evansville Lutheran School,Vanderburgh,16,34,90,114,124,111
B748,Faith Academy,Lake,-,14,43,71,43,65
B037,Faith Christian School,Fayette,-,-,-,-,*,-
D452,Faith Christian School,Tippecanoe,20,68,119,174,218,243
B161,Fishers Christian Academy,Hamilton,-,-,*,29,31,42
B565,Flaget Elementary School,Knox,*,21,47,78,80,77
A724,Good Shepherd Christian Academy,Decatur,*,*,18,28,40,40
D555,Good Shepherd School,Vanderburgh,*,13,54,86,93,91
D329,Grace Christian Academy,Scott,11,33,50,69,72,77
D310,Granger Christian School,St Joseph,*,23,39,52,76,114
C966,Greenwood Christian Academy,Johnson,20,39,85,164,207,230
B249,Guerin Catholic High School,Hamilton,*,12,16,43,44,59
B790,Hammond Baptist Elementary & High School,Lake,-,*,-,-,-,-
C475,Hasten Hebrew Academy Of Indianapolis,Marion,-,*,22,34,42,37
C275,Heritage Christian School,Marion,34,63,109,224,263,313
A746,Heritage Hall Christian School,Delaware,-,30,65,100,101,115
C020,Highland Christian School,Lake,-,-,62,142,151,164
C590,Holy Angels Catholic School,Marion,22,76,115,114,87,70
C595,Holy Cross Central School,Marion,50,90,192,189,202,195
A225,Holy Cross Lutheran School,Allen,-,38,99,156,180,202
C267,Holy Cross Lutheran School,Marion,*,*,*,24,29,36
B115,Holy Cross School,Gibson,-,*,*,19,33,29
C211,Holy Cross School,Madison,#N/A,#N/A,#N/A,-,-,165
D240,Holy Cross School,St Joseph,43,81,180,149,154,153
D725,Holy Cross School,Vigo,*,*,-,-,-,-
A865,Holy Family School,Dubois,*,14,26,34,-,-
B050,Holy Family School,Floyd,*,*,22,54,57,58
D245,Holy Family School,St Joseph,35,58,105,151,149,157
C545,Holy Name School,Marion,12,32,79,136,149,133
D560,Holy Redeemer School,Vanderburgh,11,26,43,85,93,102
D565,Holy Rosary School,Vanderburgh,*,17,64,82,92,123
C390,Holy Spirit School,Marion,80,126,185,237,237,254
D570,Holy Spirit School,Vanderburgh,25,53,130,139,120,123
A871,Holy Trinity Catholic School,Dubois,-,-,-,-,75,82
A309,Horizon Christian Academy,Allen,22,46,118,182,257,-
A302,Horizon Christian Academy II,Allen,-,-,115,79,65,-
A307,Horizon Christian Academy III,Allen,-,17,186,191,236,433
C282,Horizon Christian School,Marion,17,45,88,122,133,157
C563,Horizon Christian School-Shepherd Campus,Marion,-,18,78,82,95,100
B725,Howe School,LaGrange,*,*,*,*,12,14
B418,Huntington Catholic School,Huntington,17,24,53,53,69,75
C600,Immaculate Heart of Mary School,Marion,-,*,*,*,*,*
B445,Immanuel Lutheran School,Jackson,-,-,-,-,88,104
B190,Indiana Academy,Hamilton,-,-,18,61,83,90
C175,Indiana Christian Academy,Madison,-,26,96,154,178,189
C455,Indianapolis Junior Academy,Marion,45,69,51,35,59,59
B302,Islamic School of Plainfield,Hendricks,-,-,-,-,*,16
B483,Jay County Christian Academy,Jay,18,31,57,36,37,41
D722,John Paul II Catholic High School,Vigo,*,*,*,*,*,-
B295,Kingsway Christian School,Hendricks,*,38,95,150,156,141
D440,Lafayette Christian School,Tippecanoe,-,25,68,117,132,141
B595,Lakeland Christian Academy,Kosciusko,*,15,18,34,40,55
B145,Lakeview Christian School,Grant,48,99,157,178,194,198
A740,Lakewood Park Christian School,Dekalb,26,65,143,229,246,262
B248,Legacy Christian School,Hamilton,-,-,*,14,22,34
B299,Legacy Learning Center,Marion,#N/A,#N/A,#N/A,-,-,75
C226,Liberty Christian Elementary,Madison,73,114,166,187,198,197
C225,Liberty Christian School,Madison,23,31,50,85,87,126
C224,Liberty Christian School (7-8),Madison,24,33,39,39,38,-
C927,Lighthouse Christian Academy,Monroe,*,22,41,72,97,152
C270,Lutheran High School,Marion,15,27,44,94,96,121
A235,Lutheran South Unity School,Allen,19,50,125,154,105,65
D165,Marian High School,St Joseph,41,65,140,290,329,341
C125,Marquette Catholic High School,LaPorte,17,41,68,99,150,125
D530,Mater Dei High School,Vanderburgh,*,12,27,130,154,147
D315,Michiana Christian School,St Joseph,-,*,20,39,39,36
B747,Midwest Elite Preparatory Academy,Lake,-,-,58,120,63,50
D177,Mishawaka Catholic School,St Joseph,18,50,116,201,184,163
C965,Mooresville Christian Academy,Morgan,*,*,48,109,141,139
B951,Morning Star Academy,Lake,-,-,-,-,*,12
B904,Mosaic Middle School,Lake,-,-,-,31,55,52
A130,Most Precious Blood School,Allen,17,40,113,149,157,168
C628,MTI School of Knowledge,Marion,70,123,184,215,210,229
D065,Nativity of Our Savior School,Porter,*,23,46,82,66,64
C265,Nativity School,Marion,14,23,36,63,97,100
D249,New Vision Christian Academy,St Joseph,-,*,18,16,18,24
D158,North Liberty Christian School,St Joseph,-,*,11,18,25,11
A405,North Star Montessori School,Bartholomew,-,-,*,*,11,16
C105,Notre Dame Elementary School,LaPorte,11,11,36,64,77,71
D135,Oldenburg Academy,Franklin,*,10,13,52,63,63
