School No.,School Name,County,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017
A260,Aboite Christian School,Huntington,#N/A,#N/A,*,"$120,159.69","$166,017.44","$153,605.76"
C905,Adventist Christian Elementary,Monroe,#N/A,#N/A,-,*,"$36,718.10",*
A515,All Saints Catholic School,Cass,"$30,905.00","$79,050.40","$235,478.40","$198,553.59",-,-
B806,Ambassador Christian Academy,Lake,"$471,628.58","$696,899.15","$1,214,772.15","$991,976.45","$1,003,858.37","$928,125.24"
C250,Anderson Christian School,Madison,#N/A,"$44,841.42","$122,637.55","$107,746.74","$169,825.88","$188,464.91"
B760,Andrean High School,Lake,"$223,371.76","$330,932.78","$644,151.31","$709,922.71","$866,705.25","$828,258.42"
B755,Aquinas School at Saint Andrew's,Lake,"$41,082.59","$128,362.27","$184,374.49","$275,155.66","$341,750.63","$342,303.34"
A248,Ascension Lutheran School,Allen,$856.00,"$4,577.00","$43,851.90","$112,877.61","$179,773.00","$211,070.30"
B764,Avicenna Academy,Lake,#N/A,"$13,444.75","$52,950.00","$98,091.63","$131,300.58","$107,295.75"
C575,Baptist Academy,Marion,"$173,421.38","$358,247.06","$534,973.59","$615,968.06","$533,081.67","$324,602.84"
B015,Bethany Christian School,Elkhart,"$107,189.86","$263,725.13","$494,234.26","$562,537.16","$660,672.96","$715,454.05"
B290,Bethesda Christian School,Hendricks,"$22,100.87","$60,671.72","$154,387.37","$325,580.00","$358,661.39","$445,073.31"
C705,Bishop Chatard High School,Marion,"$103,305.80","$254,938.26","$505,278.54","$700,515.32","$799,674.42","$947,596.59"
A120,Bishop Dwenger High School,Allen,"$104,852.43","$212,545.64","$687,095.69","$1,551,338.24","$1,825,136.00","$1,999,392.34"
A125,Bishop Luers High School,Allen,"$279,838.07","$574,921.08","$1,072,965.37","$1,534,885.81","$1,626,777.69","$1,885,545.26"
B970,Bishop Noll Institute,Lake,"$223,605.07","$566,924.20","$846,020.00","$1,221,205.50","$1,458,911.08","$1,594,769.69"
A172,Blackhawk Christian Elementary School,Allen,"$122,254.73","$266,992.56","$543,386.70","$690,657.65","$848,384.51","$1,007,203.08"
A170,Blackhawk Christian Jr/Sr High School,Allen,"$57,809.20","$172,642.34","$331,955.23","$524,210.38","$610,335.27","$683,309.30"
C360,Brebeuf Jesuit Preparatory School,Marion,"$47,008.43","$67,060.66","$134,719.55","$192,932.86","$279,105.39","$346,173.80"
C396,Burge Terrace Christian School,Marion,#N/A,#N/A,-,"$149,724.33","$171,142.96","$184,086.08"
B815,Calumet Christian School,Lake,#N/A,#N/A,"$91,924.52","$154,229.57","$314,020.47","$481,926.02"
C580,Calvary Christian School,Marion,"$105,660.59","$207,698.91","$410,355.02","$514,867.55","$533,108.80","$486,875.71"
C315,Calvary Lutheran School,Marion,"$83,510.04","$146,923.84","$300,989.17","$432,277.75","$474,101.48","$471,883.90"
C690,Capitol City Seventh Day Adventist Church School,Marion,"$5,670.00","$74,836.57","$208,346.99","$230,083.96","$140,442.56","$111,533.55"
C715,Cardinal Ritter High School,Marion,"$315,812.27","$566,777.83","$1,130,703.33","$1,270,349.28","$1,452,470.79","$1,724,870.82"
C700,Cathedral High School,Marion,"$87,158.42","$230,661.83","$662,035.91","$945,027.13","$1,131,281.93","$1,171,880.71"
D415,Central Catholic Jr/Sr High School,Tippecanoe,"$13,321.22","$61,003.15","$213,206.22","$488,156.10","$614,617.63","$712,610.31"
C625,Central Catholic School,Marion,"$197,276.02","$342,427.45","$678,579.94","$789,499.28","$989,093.80","$1,120,072.64"
A249,Central Christian School,Allen,"$39,387.61","$181,726.59","$328,872.26","$376,867.79","$364,981.36","$363,626.86"
A370,Central Lutheran School,Allen,#N/A,#N/A,-,"$380,124.04","$564,067.12","$555,484.47"
C585,Christ The King School,Marion,"$61,363.04","$128,126.85","$224,621.47","$402,496.21","$397,437.10","$386,219.52"
D230,Christ The King School,St Joseph,"$7,659.91","$64,858.20","$170,485.64","$346,340.50","$468,350.74","$517,391.05"
D545,Christ The King School,Vanderburgh,"$17,848.24","$58,942.00","$131,338.01","$136,228.88","$184,072.00","$200,506.97"
B045,Christian Academy of Indiana,Floyd,"$70,176.98","$187,613.21","$421,542.44","$702,830.85","$852,348.47","$928,983.89"
B493,Christian Academy of Madison,Jefferson,"$28,760.41","$166,991.03","$222,346.81","$259,195.58","$225,024.73","$253,358.58"
B195,Cicero Adventist School,Hamilton,#N/A,"$19,625.00",*,-,-,-
B985,City Baptist Schools,Lake,#N/A,"$48,000.00",-,-,-,-
C933,Clear Creek Christian School,Monroe,"$7,861.89","$43,985.60","$81,439.41","$129,069.58","$150,432.06","$145,369.58"
A479,ClearView Education,Boone,#N/A,"$4,479.97",-,-,-,-
A875,Clinton Christian School,Elkhart,#N/A,"$66,907.96","$150,622.82","$343,419.18","$463,063.59","$560,450.14"
C495,Colonial Christian School,Marion,#N/A,#N/A,"$77,686.25","$228,545.58","$339,536.74","$372,805.88"
A450,Columbus Christian School Inc.,Bartholomew,"$129,069.42","$240,417.24","$437,016.37","$598,088.98","$508,157.11","$536,407.05"
D305,Community Baptist Christian School,St. Joseph,#N/A,#N/A,"$212,384.89","$378,415.17","$428,243.66","$461,160.24"
D862,Community Christian School,Wayne,"$11,384.00","$47,052.82","$126,964.44","$163,354.94","$190,664.97","$162,348.77"
A205,Concordia Evangelical Lutheran School,Allen,#N/A,"$158,532.72","$299,761.40","$712,400.07","$863,062.67","$981,922.60"
A195,Concordia Lutheran High School,Allen,"$101,697.49","$228,618.13","$440,973.26","$1,363,284.94","$1,630,798.45","$1,826,148.62"
C281,Cornerstone Baptist Academy,Marion,#N/A,#N/A,"$281,636.92","$273,681.29","$368,956.47","$377,826.79"
A236,Cornerstone College Preparatory School,Allen,"$422,918.12","$527,648.93","$440,147.82","$564,037.92","$631,025.26","$687,290.10"
D235,Corpus Christi School,St Joseph,"$31,500.00","$50,907.00","$158,857.44","$251,297.50","$282,538.30","$296,477.62"
D550,Corpus Christi School,Vanderburgh,#N/A,"$11,114.00","$32,872.51","$71,200.00","$103,769.00","$121,526.69"
B469,Covenant Christian High School,Jasper,"$4,569.49","$12,426.93","$82,651.73","$157,063.14","$190,052.75","$137,717.16"
C527,Covenant Christian High School,Marion,"$107,629.33","$171,062.68","$158,686.77","$326,212.08","$352,896.22","$429,287.77"
D189,Covenant Christian School,St Joseph,"$39,036.44","$89,617.17","$201,734.79","$313,486.87","$336,710.81","$409,650.98"
B085,Covington Christian School,Fountain,"$21,950.00","$48,209.12","$101,321.22","$118,340.70","$102,835.50","$73,579.87"
C215,Cross Street Christian School,Madison,#N/A,#N/A,-,*,"$65,700.00","$124,070.00"
B009,Crossing Educational Center,Elkhart,#N/A,#N/A,"$202,551.13","$593,164.67","$1,497,350.97","$1,495,546.16"
C514,Crosspointe Christian Academy,Marion,#N/A,#N/A,"$79,311.49","$177,817.40","$224,732.84","$378,822.01"
A275,Crossroad Academy,Allen,#N/A,#N/A,#N/A,-,-,"$70,523.47"
B771,Crown Point Christian School,Lake,#N/A,#N/A,-,"$321,075.23","$352,153.38","$411,744.32"
C223,Delaware Christian Academy,Delaware,#N/A,#N/A,*,"$350,400.00","$496,090.25","$268,339.72"
B470,DeMotte Christian School,Jasper,"$39,539.98","$152,048.49","$327,184.15","$547,921.63","$582,578.76","$565,229.90"
C112,Door Prairie Adventist School,LaPorte,#N/A,"$100,961.99","$91,360.14","$93,289.34",*,-
A990,Elkhart Christian Academy,Elkhart,"$87,575.72","$279,266.20","$522,233.59","$536,718.87","$862,444.81","$1,022,095.30"
