,District No.,District Name,Public special ed enrollment 2016,Public special ed ratio 2016,Public total enrollment 2016,Special ed enrollment 2016,Total enrollment 2016,Special ed ratio 2016
0,15,Adams Central Community Schools,132,10.48,1259,25.0,297.0,8.42
1,25,North Adams Community Schools,260,14.37,1809,75.0,1069.0,7.02
2,35,South Adams Schools,195,15.02,1298,114.0,1012.0,11.26
3,125,M S D Southwest Allen County Schls,565,7.86,7190,629.0,9483.0,6.63
4,225,Northwest Allen County Schools,887,12.05,7362,677.0,10389.0,6.52
5,235,Fort Wayne Community Schools,4514,15.37,29377,849.0,13046.0,6.51
6,255,East Allen County Schools,1113,11.63,9569,824.0,12617.0,6.53
7,365,Bartholomew Con School Corp,1431,12.38,11562,224.0,3058.0,7.33
8,370,Flat Rock-Hawcreek School Corp,124,14.37,863,60.0,1025.0,5.85
9,395,Benton Community School Corp,438,23.41,1871,243.0,2362.0,10.29
10,515,Blackford County Schools,285,16.69,1708,,,
11,615,Western Boone Co Com Sch Dist,279,16.33,1709,51.0,616.0,8.28
12,630,Zionsville Community Schools,813,11.73,6931,301.0,6048.0,4.98
13,665,Lebanon Community School Corp,639,18.61,3434,265.0,3406.0,7.78
14,670,Brown County School Corporation,493,24.64,2001,254.0,3214.0,7.9
15,750,Carroll Consolidated School Corp,108,9.73,1110,195.0,1877.0,10.39
16,755,Delphi Community School Corp,154,10.91,1411,283.0,3035.0,9.32
17,775,Pioneer Regional School Corp,107,11.75,911,,,
18,815,Southeastern School Corp,143,10.68,1339,38.0,267.0,14.23
19,875,Logansport Community Sch Corp,499,11.73,4254,1.0,127.0,0.79
20,940,West Clark Community Schools,670,14.07,4761,208.0,3076.0,6.76
21,1000,Clarksville Community School Corp,236,16.83,1402,187.0,2733.0,6.84
22,1010,Greater Clark County Schools,1718,16.29,10544,208.0,2983.0,6.97
23,1125,Clay Community Schools,865,20.46,4228,4.0,462.0,0.87
24,1150,Clinton Central School Corporation,108,11.66,926,63.0,745.0,8.46
25,1160,Clinton Prairie School Corporation,161,13.39,1202,212.0,2333.0,9.09
26,1170,Community Schools of Frankfort,408,12.78,3193,164.0,2531.0,6.48
27,1180,Rossville Con School District,108,10.88,993,179.0,2043.0,8.76
28,1300,Crawford County Community Sch Corp,317,20.39,1555,19.0,743.0,2.56
29,1315,Barr-Reeve Community Schools Inc,87,10.61,820,16.0,172.0,9.3
30,1375,North Daviess Com Schools,176,15.09,1166,23.0,285.0,8.07
31,1405,Washington Community Schools,569,22.03,2583,30.0,359.0,8.36
32,1560,Sunman-Dearborn Com Sch Corp,589,15.45,3812,56.0,814.0,6.88
33,1600,South Dearborn Community Sch Corp,508,20.05,2534,72.0,976.0,7.38
34,1620,Lawrenceburg Community School Corp,324,15.98,2028,30.0,527.0,5.69
35,1655,Decatur County Community Schools,363,18.33,1980,82.0,1268.0,6.47
36,1730,Greensburg Community Schools,358,15.93,2248,62.0,761.0,8.15
37,1805,DeKalb Co Eastern Com Sch Dist,226,17.15,1318,47.0,737.0,6.38
38,1820,Garrett-Keyser-Butler Com Sch Corp,284,15.98,1777,181.0,2901.0,6.24
39,1835,DeKalb Co Ctl United Sch Dist,540,14.5,3725,265.0,4495.0,5.9
40,1875,Delaware Community School Corp,411,15.68,2622,11.0,206.0,5.34
41,1885,Wes-Del Community Schools,130,15.91,817,26.0,537.0,4.84
42,1895,Liberty-Perry Community Sch Corp,183,15.12,1210,20.0,357.0,5.6
43,1900,Cowan Community School Corp,99,12.52,791,42.0,488.0,8.61
44,1910,Yorktown Community Schools,281,11.09,2534,20.0,357.0,5.6
45,1940,Daleville Community Schools,67,7.25,924,77.0,1001.0,7.69
46,1970,Muncie Community Schools,1236,21.72,5690,190.0,3219.0,5.9
47,2040,Northeast Dubois Co Sch Corp,191,20.65,925,39.0,350.0,11.14
48,2100,Southeast Dubois Co Sch Corp,160,12.46,1284,,,
49,2110,Southwest Dubois Co Sch Corp,219,12.67,1728,39.0,350.0,11.14
50,2120,Greater Jasper Consolidated Schs,390,12.23,3190,40.0,477.0,8.39
51,2155,Fairfield Community Schools,232,10.79,2150,35.0,636.0,5.5
52,2260,Baugo Community Schools,201,10.62,1892,214.0,2534.0,8.45
53,2270,Concord Community Schools,732,13.57,5394,200.0,2690.0,7.43
54,2275,Middlebury Community Schools,535,11.68,4579,168.0,2053.0,8.18
55,2285,Wa-Nee Community Schools,341,11.48,2970,224.0,3010.0,7.44
56,2305,Elkhart Community Schools,2137,16.45,12993,415.0,6332.0,6.55
57,2315,Goshen Community Schools,814,12.31,6610,117.0,2106.0,5.56
58,2395,Fayette County School Corporation,569,15.97,3562,38.0,396.0,9.6
59,2400,New Albany-Floyd Co Con Sch,1935,16.94,11420,220.0,3174.0,6.93
60,2435,Attica Consolidated School Corp,154,21.1,730,19.0,208.0,9.13
61,2440,Covington Community School Corp,140,14.88,941,3.0,56.0,5.36
62,2455,Southeast Fountain School Corp,138,12.9,1070,3.0,56.0,5.36
63,2475,Franklin County Community Sch Corp,362,14.57,2484,24.0,437.0,5.49
64,2645,Rochester Community School Corp,294,16.01,1836,,,
65,2650,Caston School Corporation,65,9.43,689,,,
66,2725,East Gibson School Corporation,196,21.73,902,92.0,1215.0,7.57
67,2735,North Gibson School Corp,528,25.79,2047,107.0,1188.0,9.01
68,2765,South Gibson School Corporation,372,18.76,1983,59.0,478.0,12.34
69,2815,Eastbrook Community Sch Corp,232,14.38,1613,130.0,1539.0,8.45
70,2825,Madison-Grant United School Corp,203,16.54,1227,8.0,408.0,1.96
71,2855,Mississinewa Community School Corp,415,16.38,2534,141.0,1745.0,8.08
72,2865,Marion Community Schools,601,15.42,3898,130.0,1539.0,8.45
73,2920,Bloomfield School District,116,13.83,839,,,
