,District ID,SC 2016,SpecEd 2016,Enrollment 2016,Avg. SpecEd Perc,District Name,Public SpecEd 2016,Public SpecEd Perc,Public Enrollment 2016
326,9545,,,,,21st Century Charter Sch of Gary,105.0,11.82%,888.0
386,9970,,,,,ACE Preparatory Academy,2.0,5.56%,36.0
12,15,171.0,25.0,297.0,8.42,Adams Central Community Schools,132.0,10.48%,1259.0
145,5265,810.0,89.0,1266.0,7.03,Alexandria Community School Corp,260.0,16.66%,1561.0
146,5275,1635.0,333.0,4639.0,7.18,Anderson Community School Corp,1584.0,22.35%,7088.0
358,9790,,,,,Anderson Preparatory Academy,128.0,15.76%,812.0
332,9615,,,,,Andrew J Brown Academy,64.0,9.70%,660.0
160,5470,74.0,7.0,161.0,4.35,Argos Community Schools,100.0,15.82%,632.0
343,9685,,,,,Aspire Charter Academy,74.0,10.65%,695.0
43,2435,54.0,19.0,208.0,9.13,Attica Consolidated School Corp,154.0,21.10%,730.0
74,3315,3274.0,467.0,8694.0,5.37,Avon Community School Corp,1378.0,14.67%,9392.0
337,9645,,,,,Avondale Meadows Academy,79.0,17.48%,452.0
9,1315,109.0,16.0,172.0,9.3,Barr-Reeve Community Schools Inc,87.0,10.61%,820.0
90,365,1072.0,224.0,3058.0,7.33,Bartholomew Con School Corp,1431.0,12.38%,11562.0
208,6895,150.0,40.0,653.0,6.13,Batesville Community School Corp,289.0,13.38%,2160.0
34,2260,916.0,214.0,2534.0,8.45,Baugo Community Schools,201.0,10.62%,1892.0
156,5380,3301.0,523.0,8257.0,6.33,Beech Grove City Schools,507.0,16.32%,3107.0
98,395,834.0,243.0,2362.0,10.29,Benton Community School Corp,438.0,23.41%,1871.0
142,515,,,,,Blackford County Schools,285.0,16.69%,1708.0
271,2920,,,,,Bloomfield School District,116.0,13.83%,839.0
78,3405,170.0,20.0,357.0,5.6,Blue River Valley Schools,88.0,13.23%,665.0
161,5480,279.0,61.0,503.0,12.13,Bremen Public Schools,193.0,12.97%,1488.0
200,670,1095.0,254.0,3214.0,7.9,Brown County School Corporation,493.0,24.64%,2001.0
73,3305,2758.0,421.0,7337.0,5.74,Brownsburg Community School Corp,1012.0,11.58%,8737.0
92,3695,430.0,112.0,1255.0,8.92,Brownstown Cnt Com Sch Corp,227.0,14.35%,1582.0
333,9620,,,,,Burris Laboratory School,93.0,14.44%,644.0
274,3455,,,,,C A Beard Memorial School Corp,241.0,20.78%,1160.0
293,8825,,,,,CSUSA Donnan,94.0,23.98%,392.0
290,8810,,,,,CSUSA Howe,95.0,17.56%,541.0
291,8815,,,,,CSUSA Manual,149.0,21.41%,696.0
347,9725,,,,,Canaan Community Academy,36.0,40.45%,89.0
281,6340,,,,,Cannelton City Schools,54.0,20.85%,259.0
368,9880,,,,,Career Academy High School,68.0,25.56%,266.0
385,9965,,,,,Career Academy Middle School,83.0,20.80%,399.0
63,3060,2591.0,526.0,8994.0,5.85,Carmel Clay Schools,1547.0,9.62%,16082.0
353,9755,,,,,Carpe Diem - Meridian Campus,45.0,32.85%,137.0
346,9710,,,,,Carpe Diem - Northwest,32.0,20.78%,154.0
335,9630,,,,,Carpe Diem - Shadeland,23.0,34.33%,67.0
226,750,669.0,195.0,1877.0,10.39,Carroll Consolidated School Corp,108.0,9.73%,1110.0
270,2650,,,,,Caston School Corporation,65.0,9.43%,689.0
103,4205,2976.0,602.0,7730.0,7.79,Center Grove Community School Corp,1100.0,13.45%,8180.0
255,8360,323.0,36.0,604.0,5.96,Centerville-Abington Com Schs,198.0,11.53%,1717.0
180,6055,881.0,128.0,2019.0,6.34,Central Noble Com School Corp,210.0,17.21%,1220.0
319,9445,,,,,Charles A Tindley Accelerated Sch,25.0,9.16%,273.0
298,9310,,,,,Charter School of the Dunes,58.0,12.53%,463.0
311,9380,,,,,Christel House Academy South,92.0,12.81%,718.0
313,9395,,,,,Christel House Academy West,26.0,9.81%,265.0
312,9385,,,,,Christel House DORS South,2.0,0.75%,265.0
318,9440,,,,,Christel House DORS West,1.0,0.52%,192.0
102,4145,1959.0,401.0,5183.0,7.74,Clark-Pleasant Community Sch Corp,910.0,13.85%,6571.0
0,1000,807.0,187.0,2733.0,6.84,Clarksville Community School Corp,236.0,16.83%,1402.0
2,1125,230.0,4.0,462.0,0.87,Clay Community Schools,865.0,20.46%,4228.0
3,1150,287.0,63.0,745.0,8.46,Clinton Central School Corporation,108.0,11.66%,926.0
4,1160,828.0,212.0,2333.0,9.09,Clinton Prairie School Corporation,161.0,13.39%,1202.0
201,6750,140.0,3.0,335.0,0.9,Cloverdale Community Schools,217.0,17.74%,1223.0
300,9320,,,,,Community Montessori Inc,115.0,21.22%,542.0
5,1170,694.0,164.0,2531.0,6.48,Community Schools of Frankfort,408.0,12.78%,3193.0
35,2270,1158.0,200.0,2690.0,7.43,Concord Community Schools,732.0,13.57%,5394.0
44,2440,19.0,3.0,56.0,5.36,Covington Community School Corp,140.0,14.88%,941.0
24,1900,304.0,42.0,488.0,8.61,Cowan Community School Corp,99.0,12.52%,791.0
8,1300,229.0,19.0,743.0,2.56,Crawford County Community Sch Corp,317.0,20.39%,1555.0
173,5855,353.0,59.0,918.0,6.43,Crawfordsville Community Schools,557.0,21.71%,2566.0
94,3710,385.0,66.0,818.0,8.07,Crothersville Community Schools,97.0,19.72%,492.0
124,4660,1616.0,117.0,4217.0,2.77,Crown Point Community School Corp,903.0,10.76%,8389.0
159,5455,453.0,79.0,1510.0,5.23,Culver Community Schools Corp,108.0,13.86%,779.0
26,1940,643.0,77.0,1001.0,7.69,Daleville Community Schools,67.0,7.25%,924.0
376,9920,,,,,Damar Charter Academy,160.0,97.56%,164.0
75,3325,940.0,188.0,3198.0,5.88,Danville Community School Corp,286.0,11.61%,2463.0
20,1835,2184.0,265.0,4495.0,5.9,DeKalb Co Ctl United Sch Dist,540.0,14.50%,3725.0
18,1805,348.0,47.0,737.0,6.38,DeKalb Co Eastern Com Sch Dist,226.0,17.15%,1318.0
16,1655,503.0,82.0,1268.0,6.47,Decatur County Community Schools,363.0,18.33%,1980.0
21,1875,115.0,11.0,206.0,5.34,Delaware Community School Corp,411.0,15.68%,2622.0
229,755,1153.0,283.0,3035.0,9.32,Delphi Community School Corp,154.0,10.91%,1411.0
366,9870,,,,,Discovery Charter School,67.0,12.93%,518.0
359,9795,,,,,Dr Robert H Faulkner Academy,12.0,10.00%,120.0
382,9950,,,,,Dugger Union Community School Corp,42.0,13.73%,306.0
189,6470,805.0,78.0,2077.0,3.76,Duneland School Corporation,943.0,16.14%,5842.0
48,255,6565.0,824.0,12617.0,6.53,East Allen County Schools,1113.0,11.63%,9569.0
329,9595,,,,,East Chicago Lighthouse Charter,48.0,10.91%,440.0
327,9555,,,,,East Chicago Urban Enterprise Acad,34.0,7.89%,431.0
50,2725,368.0,92.0,1215.0,7.57,East Gibson School Corporation,196.0,21.73%,902.0
181,6060,1953.0,232.0,4080.0,5.69,East Noble School Corporation,692.0,18.81%,3678.0
190,6510,213.0,26.0,652.0,3.99,East Porter County School Corp,346.0,13.95%,2480.0
251,8215,107.0,34.0,489.0,6.95,East Washington School Corp,255.0,17.73%,1438.0
53,2815,680.0,130.0,1539.0,8.45,Eastbrook Community Sch Corp,232.0,14.38%,1613.0
57,2940,282.0,38.0,536.0,7.09,Eastern Greene Schools,189.0,15.37%,1230.0
68,3145,1210.0,200.0,2828.0,7.07,Eastern Hancock Co Com Sch Corp,217.0,17.92%,1211.0
84,3480,49.0,13.0,95.0,13.68,Eastern Howard School Corporation,235.0,15.66%,1501.0
197,6620,276.0,114.0,1012.0,11.26,Eastern Pulaski Community Sch Corp,179.0,14.27%,1254.0
104,4215,212.0,24.0,302.0,7.95,Edinburgh Community School Corp,173.0,18.99%,911.0
292,8820,,,,,Edison Learning Roosevelt,94.0,15.64%,601.0
38,2305,2569.0,415.0,6332.0,6.55,Elkhart Community Schools,2137.0,16.45%,12993.0
147,5280,293.0,71.0,1124.0,6.32,Elwood Community School Corp,267.0,16.11%,1657.0
175,5910,139.0,21.0,321.0,6.54,Eminence Community School Corp,75.0,19.95%,376.0
309,9365,,,,,Enlace Academy,49.0,13.39%,366.0
240,7995,1988.0,445.0,5938.0,7.49,Evansville Vanderburgh School Corp,3562.0,15.62%,22801.0
352,9750,,,,,Excel Center - Anderson,29.0,9.24%,314.0
307,9355,,,,,Excel Center - Kokomo,42.0,11.70%,359.0
305,9345,,,,,Excel Center - Lafayette,44.0,13.79%,319.0
303,9335,,,,,Excel Center - Lafayette Square,15.0,3.93%,382.0
364,9855,,,,,Excel Center - Noblesville,26.0,13.13%,198.0
297,9305,,,,,Excel Center - Richmond,48.0,16.33%,294.0
391,9995,,,,,Excel Center - Shelbyville,3.0,3.57%,84.0
372,9900,,,,,Excel Center - South Bend,10.0,2.78%,360.0
362,9840,,,,,Excel Center - University Heights,44.0,11.28%,390.0
374,9910,,,,,Excel Center for Adult Learners,103.0,9.94%,1036.0
32,2155,383.0,35.0,636.0,5.5,Fairfield Community Schools,232.0,10.79%,2150.0
41,2395,212.0,38.0,396.0,9.6,Fayette County School Corporation,569.0,15.97%,3562.0
93,370,366.0,60.0,1025.0,5.85,Flat Rock-Hawcreek School Corp,124.0,14.37%,863.0
40,235,7009.0,849.0,13046.0,6.51,Fort Wayne Community Schools,4514.0,15.37%,29377.0
105,4225,1570.0,335.0,4516.0,7.42,Franklin Community School Corp,736.0,14.71%,5004.0
46,2475,94.0,24.0,437.0,5.49,Franklin County Community Sch Corp,362.0,14.57%,2484.0
149,5310,6609.0,1059.0,16230.0,6.52,Franklin Township Com Sch Corp,1415.0,15.46%,9151.0
143,5245,586.0,77.0,929.0,8.29,Frankton-Lapel Community Schools,418.0,13.26%,3152.0
287,7605,,,,,Fremont Community Schools,126.0,13.88%,908.0
261,8525,619.0,175.0,1876.0,9.33,Frontier School Corporation,124.0,18.13%,684.0
19,1820,1259.0,181.0,2901.0,6.24,Garrett-Keyser-Butler Com Sch Corp,284.0,15.98%,1777.0
127,4690,2795.0,208.0,5973.0,3.48,Gary Community School Corp,843.0,14.48%,5823.0
325,9535,,,,,Gary Lighthouse Charter School,156.0,10.30%,1515.0
369,9885,,,,,Gary Middle College,20.0,8.44%,237.0
340,9665,,,,,Geist Montessori Academy,64.0,17.02%,376.0
387,9975,,,,,Global Preparatory Academy,22.0,8.18%,269.0
39,2315,1046.0,117.0,2106.0,5.56,Goshen Community Schools,814.0,12.31%,6610.0
1,1010,816.0,208.0,2983.0,6.97,Greater Clark County Schools,1718.0,16.29%,10544.0
31,2120,172.0,40.0,477.0,8.39,Greater Jasper Consolidated Schs,390.0,12.23%,3190.0
286,6755,,,,,Greencastle Community School Corp,302.0,15.67%,1927.0
66,3125,1286.0,106.0,2075.0,5.11,Greenfield-Central Com Schools,755.0,16.70%,4521.0
17,1730,250.0,62.0,761.0,8.15,Greensburg Community Schools,358.0,15.93%,2248.0
106,4245,2650.0,569.0,7550.0,7.54,Greenwood Community Sch Corp,609.0,15.61%,3902.0
128,4700,1460.0,84.0,2967.0,2.83,Griffith Public Schools,357.0,14.35%,2488.0
230,7610,262.0,36.0,597.0,6.03,Hamilton Community Schools,57.0,17.38%,328.0
60,3025,502.0,87.0,1162.0,7.49,Hamilton Heights School Corp,339.0,14.52%,2334.0
59,3005,2800.0,652.0,9855.0,6.62,Hamilton Southeastern Schools,2192.0,10.26%,21367.0
345,9705,,,,,Hammond Academy of Science & Tech,28.0,5.10%,549.0
118,4580,419.0,58.0,1837.0,3.16,Hanover Community School Corp,260.0,11.81%,2201.0
390,9990,,,,,Heritage Institute of Arts & Tech,18.0,11.76%,153.0
338,9650,,,,,Herron Charter,83.0,10.04%,827.0
365,9865,,,,,Hoosier Acad Virtual Charter,435.0,13.02%,3342.0
360,9805,,,,,Hoosier Academy - Indianapolis,43.0,17.41%,247.0
339,9655,,,,,Hope Academy,3.0,12.00%,25.0
88,3625,2398.0,216.0,4159.0,5.19,Huntington Co Com Sch Corp,916.0,17.40%,5265.0
334,9625,,,,,IN Acad for Sci Math & Humanities,4.0,1.21%,330.0
357,9785,,,,,IN Math & Science Academy,56.0,9.54%,587.0
371,9895,,,,,IN Math & Science Academy - North,84.0,15.14%,555.0
310,9375,,,,,IN Math & Science Academy - South,36.0,18.85%,191.0
330,9605,,,,,IN Sch for the Blind & Vis Imprd,137.0,99.28%,138.0
323,9490,,,,,Indiana College Preparatory School,26.0,10.00%,260.0
373,9905,,,,,Indiana Connections Academy,631.0,15.65%,4032.0
294,9100,,,,,Indiana Department of Corrections,154.0,39.39%,391.0
331,9610,,,,,Indiana School For The Deaf,270.0,98.18%,275.0
370,9890,,,,,Indiana Virtual School,222.0,7.53%,2947.0
356,9780,,,,,Indianapolis Academy of Excellence,17.0,18.09%,94.0
355,9770,,,,,Indianapolis Lighthouse East,51.0,18.96%,269.0
341,9670,,,,,Indianapolis Metropolitan High Sch,48.0,18.11%,265.0
157,5385,9450.0,1543.0,22566.0,6.84,Indianapolis Public Schools,4890.0,17.00%,28767.0
328,9575,,,,,Indpls Lighthouse Charter School,85.0,9.42%,902.0
296,9120,,,,,Insight School of Indiana,134.0,20.21%,663.0
349,9735,,,,,Inspire Academy - A Sch of Inquiry,43.0,24.71%,174.0
302,9330,,,,,Irvington Community School,157.0,15.32%,1025.0
209,6900,247.0,44.0,720.0,6.11,Jac-Cen-Del Community Sch Corp,151.0,17.83%,847.0
97,3945,238.0,33.0,350.0,9.43,Jay School Corporation,829.0,24.56%,3376.0
101,4015,781.0,145.0,1990.0,7.29,Jennings County School Corporation,876.0,19.91%,4400.0
212,7150,690.0,85.0,1731.0,4.91,John Glenn School Corporation,241.0,12.38%,1946.0
324,9495,,,,,Joshua Academy,16.0,9.70%,165.0
314,9400,,,,,KIPP Indy College Prep Middle,61.0,20.07%,304.0
315,9410,,,,,KIPP Indy Unite Elementary,27.0,8.85%,305.0
95,3785,593.0,149.0,1705.0,8.74,Kankakee Valley School Corp,502.0,14.67%,3423.0
295,9115,,,,,Kindezi Academy,14.0,8.38%,167.0
228,7525,333.0,117.0,1100.0,10.64,Knox Community School Corp,233.0,12.06%,1932.0
87,3500,683.0,208.0,2312.0,9.0,Kokomo School Corporation,1116.0,18.08%,6172.0
139,4945,791.0,70.0,1909.0,3.67,LaPorte Community School Corp,1055.0,15.80%,6676.0
234,7855,1343.0,294.0,3497.0,8.41,Lafayette School Corporation,1500.0,19.50%,7694.0
121,4615,1836.0,202.0,5431.0,3.72,Lake Central School Corporation,1331.0,13.78%,9656.0
