,School No.,School Name,County,Voucher enrollment 2016,Special ed enrollment 2016,Special ed ratio 2016,Total enrollment 2016,2016 Grade,District No.,District Name
0,A260,Aboite Christian School,Huntington,35,0.0,0.0,45.0,C,255,East Allen County Schools
1,A260,Aboite Christian School,Huntington,35,0.0,0.0,45.0,C,235,Fort Wayne Community Schools
2,A260,Aboite Christian School,Huntington,35,0.0,0.0,45.0,C,125,M S D Southwest Allen County
3,C905,Adventist Christian Elementary,Monroe,9,0.0,0.0,14.0,No Grade,2940,Eastern Greene Schools
4,C905,Adventist Christian Elementary,Monroe,9,0.0,0.0,14.0,No Grade,5925,M S D Martinsville Schools
5,C905,Adventist Christian Elementary,Monroe,9,0.0,0.0,14.0,No Grade,5740,Monroe County Community School Corporation
6,C905,Adventist Christian Elementary,Monroe,9,0.0,0.0,14.0,No Grade,5705,Richland-Bean Blossom Community School Corporation
7,B806,Ambassador Christian Academy,Lake,154,0.0,0.0,190.0,D,4690,Gary Community School Corporation
8,B806,Ambassador Christian Academy,Lake,154,0.0,0.0,190.0,D,4700,Griffith Public Schools
9,B806,Ambassador Christian Academy,Lake,154,0.0,0.0,190.0,D,4680,Lake Station Community Schools
10,B806,Ambassador Christian Academy,Lake,154,0.0,0.0,190.0,D,4600,Merrillville Community School
11,B806,Ambassador Christian Academy,Lake,154,0.0,0.0,190.0,D,6550,Portage Township Schools
12,B806,Ambassador Christian Academy,Lake,154,0.0,0.0,190.0,D,4670,School City of East Chicago
13,B806,Ambassador Christian Academy,Lake,154,0.0,0.0,190.0,D,4710,School City of Hammond
14,B806,Ambassador Christian Academy,Lake,154,0.0,0.0,190.0,D,4730,School City of Hobart
15,C250,Anderson Christian School,Madison,40,8.0,12.7,63.0,C,5275,Anderson Community School Corporation
16,C250,Anderson Christian School,Madison,40,8.0,12.7,63.0,C,1940,Daleville Community Schools
17,C250,Anderson Christian School,Madison,40,8.0,12.7,63.0,C,5245,Frankton-Lapel Community Schools
18,B760,Andrean High School,Lake,161,5.0,1.02,492.0,A,4660,Crown Point Community School Corporation
19,B760,Andrean High School,Lake,161,5.0,1.02,492.0,A,6470,Duneland School Corporation
20,B760,Andrean High School,Lake,161,5.0,1.02,492.0,A,4690,Gary Community School Corporation
21,B760,Andrean High School,Lake,161,5.0,1.02,492.0,A,4700,Griffith Public Schools
22,B760,Andrean High School,Lake,161,5.0,1.02,492.0,A,4580,Hanover Community School Corporation
23,B760,Andrean High School,Lake,161,5.0,1.02,492.0,A,4615,Lake Central School Corporation
24,B760,Andrean High School,Lake,161,5.0,1.02,492.0,A,4650,Lake Ridge Schools
25,B760,Andrean High School,Lake,161,5.0,1.02,492.0,A,4600,Merrillville Community School
