,School No.,School Name,County,Voucher enrollment 2016,Special ed enrollment 2016,Special ed ratio 2016,Total enrollment 2016,2016 Grade
0,A260,Aboite Christian School,Huntington,35.0,,,,C
1,A515,All Saints Catholic School,Cass,9.0,,,,
2,B806,Ambassador Christian Academy,Lake,154.0,,,,D
3,C250,Anderson Christian School,Madison,40.0,,,,C
4,B760,Andrean High School,Lake,161.0,5.0,1.02%,492.0,A
5,B755,Aquinas School at Saint Andrew's,Lake,79.0,4.0,3.31%,121.0,B
6,A248,Ascension Lutheran School,Allen,86.0,11.0,7.86%,140.0,B
7,B764,Avicenna Academy,Lake,20.0,,,,D
8,C575,Baptist Academy,Marion,65.0,,,,A
9,B015,Bethany Christian School,Elkhart,158.0,,,,A
10,B290,Bethesda Christian School,Hendricks,110.0,,,,B
11,C705,Bishop Chatard High School,Marion,194.0,48.0,6.86%,700.0,A
12,A120,Bishop Dwenger High School,Allen,450.0,59.0,5.49%,1075.0,A
13,A125,Bishop Luers High School,Allen,391.0,38.0,6.16%,617.0,B
14,B970,Bishop Noll Institute,Lake,276.0,2.0,0.38%,528.0,B
15,A172,Blackhawk Christian Elementary School,Allen,246.0,,,,A
16,A170,Blackhawk Christian Jr/Sr High School,Allen,156.0,,,,A
17,C360,Brebeuf Jesuit Preparatory School,Marion,85.0,6.0,0.76%,794.0,A
18,C396,Burge Terrace Christian School,Marion,40.0,,,,No Grade
19,B815,Calumet Christian School,Lake,106.0,,,,F
20,C580,Calvary Christian School,Marion,124.0,,,,A
21,C315,Calvary Lutheran School,Marion,113.0,18.0,8.04%,224.0,B
22,C690,Capitol City Seventh Day Adventist Church School,Marion,24.0,,,,F
23,C715,Cardinal Ritter High School,Marion,330.0,30.0,4.52%,663.0,B
24,C700,Cathedral High School,Marion,250.0,61.0,5.15%,1184.0,A
25,D415,Central Catholic Jr/Sr High School,Tippecanoe,168.0,22.0,5.08%,433.0,A
26,C625,Central Catholic School,Marion,188.0,10.0,4.48%,223.0,F
27,A249,Central Christian School,Allen,96.0,,,,C
28,A370,Central Lutheran School,Allen,160.0,12.0,3.48%,345.0,B
29,C585,Christ The King School,Marion,98.0,43.0,12.65%,340.0,A
30,D230,Christ The King School,St Joseph,135.0,38.0,7.92%,480.0,A
31,D545,Christ The King School,Vanderburgh,48.0,13.0,8.44%,154.0,A
32,B045,Christian Academy of Indiana,Floyd,229.0,,,,A
33,B493,Christian Academy of Madison,Jefferson,76.0,,,,C
34,B195,Cicero Adventist School,Hamilton,9.0,,,,
35,B985,City Baptist Schools,Lake,9.0,,,,
36,C933,Clear Creek Christian School,Monroe,40.0,,,,B
37,A479,ClearView Education,Boone,9.0,,,,
38,A875,Clinton Christian School,Elkhart,133.0,,,,B
39,C495,Colonial Christian School,Marion,91.0,,,,C
40,A450,Columbus Christian School Inc.,Bartholomew,122.0,,,,B
41,D305,Community Baptist Christian School,St. Joseph,116.0,,,,C
42,D862,Community Christian School,Wayne,44.0,,,,A
43,A205,Concordia Evangelical Lutheran School,Allen,246.0,18.0,4.63%,389.0,C
44,A195,Concordia Lutheran High School,Allen,397.0,31.0,3.97%,781.0,A
45,C281,Cornerstone Baptist Academy,Marion,83.0,,,,B
46,A236,Cornerstone College Preparatory School,Allen,122.0,,,,F
47,D235,Corpus Christi School,St Joseph,80.0,20.0,10.64%,188.0,B
48,D550,Corpus Christi School,Vanderburgh,49.0,17.0,6.83%,249.0,A
49,B469,Covenant Christian High School,Jasper,35.0,,,,A
50,C527,Covenant Christian High School,Marion,100.0,,,,A
51,D189,Covenant Christian School,St Joseph,83.0,,,,A
52,B085,Covington Christian School,Fountain,19.0,,,,C
53,C215,Cross Street Christian School,Madison,28.0,,,,F
54,B009,Crossing Educational Center,Elkhart,276.0,,,,
55,C514,Crosspointe Christian Academy,Marion,98.0,,,,C
56,A275,Crossroad Academy,Allen,13.0,,,,
57,B771,Crown Point Christian School,Lake,122.0,,,,B
58,C223,Delaware Christian Academy,Delaware,44.0,,,,No Grade
59,B470,DeMotte Christian School,Jasper,137.0,,,,B
60,C112,Door Prairie Adventist School,LaPorte,9.0,,,,D
61,A990,Elkhart Christian Academy,Elkhart,236.0,,,,B
62,B160,Eman Schools,Hamilton,121.0,,,,A
63,A215,Emmanuel Saint Michael Lutheran School,Allen,162.0,22.0,6.40%,344.0,A
64,A220,Emmaus Lutheran School,Allen,94.0,3.0,1.55%,193.0,A
65,C680,Emmaus Lutheran School,Marion,14.0,2.0,10.53%,19.0,No Grade
66,D485,Evansville Christian School,Vanderburgh,330.0,,,,A
67,D525,Evansville Day School,Vanderburgh,38.0,,,,A
68,D526,Evansville Day School PK-08,Vanderburgh,9.0,,,,
69,D625,Evansville Lutheran School,Vanderburgh,111.0,25.0,14.79%,169.0,B
70,B748,Faith Academy,Lake,65.0,,,,D
71,B037,Faith Christian School,Fayette,9.0,,,,
72,D452,Faith Christian School,Tippecanoe,243.0,,,,A
73,B161,Fishers Christian Academy,Hamilton,42.0,,,,B
74,B565,Flaget Elementary School,Knox,77.0,18.0,6.87%,262.0,B
75,A724,Good Shepherd Christian Academy,Decatur,40.0,,,,D
76,D555,Good Shepherd School,Vanderburgh,91.0,25.0,7.14%,350.0,A
77,D329,Grace Christian Academy,Scott,77.0,,,,B
78,D310,Granger Christian School,St Joseph,114.0,,,,A
79,C966,Greenwood Christian Academy,Johnson,230.0,,,,B
80,B249,Guerin Catholic High School,Hamilton,59.0,37.0,4.88%,758.0,A
81,B790,Hammond Baptist Elementary & High School,Lake,9.0,,,,
82,C475,Hasten Hebrew Academy Of Indianapolis,Marion,37.0,,,,A
83,C275,Heritage Christian School,Marion,313.0,,,,A
84,A746,Heritage Hall Christian School,Delaware,115.0,,,,A
85,C020,Highland Christian School,Lake,164.0,,,,B
86,C590,Holy Angels Catholic School,Marion,70.0,13.0,13.40%,97.0,D
87,C595,Holy Cross Central School,Marion,195.0,15.0,5.95%,252.0,F
88,A225,Holy Cross Lutheran School,Allen,202.0,26.0,6.31%,412.0,B
89,C267,Holy Cross Lutheran School,Marion,36.0,24.0,10.00%,240.0,A
90,B115,Holy Cross School,Gibson,29.0,19.0,13.10%,145.0,A
91,C211,Holy Cross School,Madison,165.0,14.0,6.64%,211.0,
92,D240,Holy Cross School,St Joseph,153.0,21.0,9.91%,212.0,C
93,D725,Holy Cross School,Vigo,9.0,,,,F
94,A865,Holy Family School,Dubois,9.0,,,,
95,B050,Holy Family School,Floyd,58.0,18.0,5.31%,339.0,B
96,D245,Holy Family School,St Joseph,157.0,12.0,4.60%,261.0,C
97,C545,Holy Name School,Marion,133.0,30.0,11.19%,268.0,B
98,D560,Holy Redeemer School,Vanderburgh,102.0,18.0,8.22%,219.0,B
99,D565,Holy Rosary School,Vanderburgh,123.0,26.0,7.37%,353.0,A
100,C390,Holy Spirit School,Marion,254.0,20.0,4.95%,404.0,B
101,D570,Holy Spirit School,Vanderburgh,123.0,45.0,25.86%,174.0,B
102,A871,Holy Trinity Catholic School,Dubois,82.0,39.0,11.14%,350.0,A
103,A309,Horizon Christian Academy,Allen,9.0,,,,F
104,A302,Horizon Christian Academy II,Allen,9.0,,,,F
105,A307,Horizon Christian Academy III,Allen,433.0,,,,D
106,C282,Horizon Christian School,Marion,157.0,,,,B
107,C563,Horizon Christian School-Shepherd Campus,Marion,100.0,,,,F
108,B725,Howe School,LaGrange,14.0,,,,B
109,B418,Huntington Catholic School,Huntington,75.0,15.0,13.76%,109.0,C
110,B445,Immanuel Lutheran School,Jackson,104.0,36.0,11.15%,323.0,A
111,B190,Indiana Academy,Hamilton,90.0,,,,F
112,C175,Indiana Christian Academy,Madison,189.0,,,,D
113,C455,Indianapolis Junior Academy,Marion,59.0,,,,C
114,B302,Islamic School of Plainfield,Hendricks,16.0,,,,No Grade
115,B483,Jay County Christian Academy,Jay,41.0,,,,C
116,D722,John Paul II Catholic High School,Vigo,9.0,,,,
117,B295,Kingsway Christian School,Hendricks,141.0,,,,A
118,D440,Lafayette Christian School,Tippecanoe,141.0,,,,A
119,B595,Lakeland Christian Academy,Kosciusko,55.0,,,,F
120,B145,Lakeview Christian School,Grant,198.0,,,,F
121,A740,Lakewood Park Christian School,Dekalb,262.0,,,,A
122,B248,Legacy Christian School,Hamilton,34.0,,,,A
123,B299,Legacy Learning Center,Marion,75.0,,,,
124,C226,Liberty Christian Elementary,Madison,197.0,,,,C
125,C225,Liberty Christian School,Madison,126.0,,,,B
126,C224,Liberty Christian School (7-8),Madison,9.0,,,,D
127,C927,Lighthouse Christian Academy,Monroe,152.0,,,,A
128,C270,Lutheran High School,Marion,121.0,20.0,7.97%,251.0,B
129,A235,Lutheran South Unity School,Allen,65.0,14.0,8.05%,174.0,B
130,D165,Marian High School,St Joseph,341.0,32.0,4.65%,688.0,A
131,C125,Marquette Catholic High School,LaPorte,125.0,9.0,3.30%,273.0,B
132,D530,Mater Dei High School,Vanderburgh,147.0,19.0,3.59%,529.0,A
133,D315,Michiana Christian School,St Joseph,36.0,,,,D
134,B747,Midwest Elite Preparatory Academy,Lake,50.0,,,,No Grade
135,D177,Mishawaka Catholic School,St Joseph,163.0,24.0,8.92%,269.0,B
136,C965,Mooresville Christian Academy,Morgan,139.0,,,,B
137,B951,Morning Star Academy,Lake,12.0,,,,No Grade
138,B904,Mosaic Middle School,Lake,52.0,,,,No Grade
139,A130,Most Precious Blood School,Allen,168.0,22.0,9.48%,232.0,B
