,School ID,School Name,County,Grade,SC 2011,SC 2016,Count % Change,Corp ID,Corp Name,SpecEd 2016,SpecEd Perc,Enrollment 2016
0,A425,Saint Bartholomew School,Bartholomew,A,9.0,122.0,12.5555555556,9200.0,Archdiocese of Indianapolis,19.0,5.08%,374.0
1,A550,Saint Paul School,Clark,B,9.0,49.0,4.44444444444,9200.0,Archdiocese of Indianapolis,30.0,9.09%,330.0
2,A560,Saint Anthony School,Clark,A,10.0,179.0,16.9,9200.0,Archdiocese of Indianapolis,41.0,12.24%,335.0
3,A570,Sacred Heart School,Clark,A,18.0,99.0,4.5,9200.0,Archdiocese of Indianapolis,22.0,12.09%,182.0
4,A575,Our Lady Of Providence High School,Clark,A,,107.0,,9200.0,Archdiocese of Indianapolis,34.0,6.95%,489.0
5,A680,Saint Nicholas School,Ripley,A,,,,9200.0,Archdiocese of Indianapolis,6.0,5.56%,108.0
6,A685,Saint Paul Catholic School,Dearborn,C,9.0,43.0,3.77777777778,9200.0,Archdiocese of Indianapolis,10.0,16.13%,62.0
7,A690,Saint Mary School,Dearborn,B,,53.0,,9200.0,Archdiocese of Indianapolis,12.0,10.91%,110.0
8,A700,Saint Lawrence School,Dearborn,C,9.0,37.0,3.11111111111,9200.0,Archdiocese of Indianapolis,12.0,5.80%,207.0
9,A730,Saint Mary School,Decatur,A,9.0,23.0,1.55555555556,9200.0,Archdiocese of Indianapolis,26.0,10.24%,254.0
10,B035,Saint Gabriel Parochial School,Fayette,A,,78.0,,9200.0,Archdiocese of Indianapolis,9.0,6.47%,139.0
11,B050,Holy Family School,Floyd,B,,58.0,,9200.0,Archdiocese of Indianapolis,18.0,5.31%,339.0
12,B060,Our Lady Of Perpetual School,Floyd,A,12.0,71.0,4.91666666667,9200.0,Archdiocese of Indianapolis,29.0,8.01%,362.0
13,B067,Saint Mary of-the-Knobs Catholic School,Floyd,A,9.0,24.0,1.66666666667,9200.0,Archdiocese of Indianapolis,15.0,7.39%,203.0
14,B095,Saint Michael School,Franklin,A,,31.0,,9200.0,Archdiocese of Indianapolis,18.0,7.93%,227.0
15,B265,Saint Michael School,Hancock,A,,52.0,,9200.0,Archdiocese of Indianapolis,19.0,8.72%,218.0
16,B280,Saint Joseph School,Harrison,B,9.0,40.0,3.44444444444,9200.0,Archdiocese of Indianapolis,9.0,11.25%,80.0
17,B285,Saint Malachy School,Hendricks,A,,124.0,,9200.0,Archdiocese of Indianapolis,29.0,6.92%,419.0
18,B300,Saint Susanna School,Hendricks,A,,50.0,,9200.0,Archdiocese of Indianapolis,27.0,11.25%,240.0
19,B440,Saint Ambrose School,Jackson,A,,67.0,,9200.0,Archdiocese of Indianapolis,14.0,9.59%,146.0
20,B505,Shawe Memorial High School,Jefferson,B,,71.0,,9200.0,Archdiocese of Indianapolis,7.0,4.52%,155.0
21,B510,Pope John XXIII School,Jefferson,C,,153.0,,9200.0,Archdiocese of Indianapolis,11.0,3.54%,311.0
22,B515,Saint Mary School,Jennings,A,,65.0,,9200.0,Archdiocese of Indianapolis,12.0,6.67%,180.0
23,B518,Saint Rose of Lima School,Johnson,B,,94.0,,9200.0,Archdiocese of Indianapolis,17.0,9.60%,177.0
24,B535,Our Lady Of The Greenwood School,Johnson,B,11.0,140.0,11.7272727273,9200.0,Archdiocese of Indianapolis,28.0,9.40%,298.0
25,B540,Saints Francis and Clare Catholic School,Johnson,A,,106.0,,9200.0,Archdiocese of Indianapolis,55.0,10.62%,518.0
26,C160,Saint Vincent DePaul School,Lawrence,A,,76.0,,9200.0,Archdiocese of Indianapolis,11.0,5.76%,191.0
27,C265,Nativity School,Marion,A,14.0,100.0,6.14285714286,9200.0,Archdiocese of Indianapolis,27.0,6.73%,401.0
28,C280,Saint Lawrence School,Marion,C,43.0,158.0,2.67441860465,9200.0,Archdiocese of Indianapolis,22.0,8.87%,248.0
29,C295,Saint Barnabas School,Marion,A,,128.0,,9200.0,Archdiocese of Indianapolis,39.0,7.29%,535.0
30,C300,Saint Jude Elementary School,Marion,A,,137.0,,9200.0,Archdiocese of Indianapolis,44.0,8.91%,494.0
31,C305,Saint Mark School,Marion,B,27.0,145.0,4.37037037037,9200.0,Archdiocese of Indianapolis,27.0,8.63%,313.0
32,C310,Saint Roch School,Marion,A,16.0,103.0,5.4375,9200.0,Archdiocese of Indianapolis,29.0,9.57%,303.0
33,C320,Roncalli High School,Marion,A,22.0,342.0,14.5454545455,9200.0,Archdiocese of Indianapolis,99.0,8.36%,1184.0
34,C360,Brebeuf Jesuit Preparatory School,Marion,A,11.0,85.0,6.72727272727,9200.0,Archdiocese of Indianapolis,6.0,0.76%,794.0
35,C390,Holy Spirit School,Marion,B,80.0,254.0,2.175,9200.0,Archdiocese of Indianapolis,20.0,4.95%,404.0
36,C435,Saint Luke School,Marion,A,,100.0,,9200.0,Archdiocese of Indianapolis,63.0,10.52%,599.0
37,C440,Saint Matthew School,Marion,A,,131.0,,9200.0,Archdiocese of Indianapolis,51.0,12.38%,412.0
38,C445,Saint Monica School,Marion,B,37.0,200.0,4.40540540541,9200.0,Archdiocese of Indianapolis,48.0,11.62%,413.0
39,C450,Saint Pius X School,Marion,A,,50.0,,9200.0,Archdiocese of Indianapolis,46.0,10.93%,421.0
40,C545,Holy Name School,Marion,B,12.0,133.0,10.0833333333,9200.0,Archdiocese of Indianapolis,30.0,11.19%,268.0
41,C585,Christ The King School,Marion,A,15.0,98.0,5.53333333333,9200.0,Archdiocese of Indianapolis,43.0,12.65%,340.0
42,C590,Holy Angels Catholic School,Marion,D,22.0,70.0,2.18181818182,9200.0,Archdiocese of Indianapolis,13.0,13.40%,97.0
43,C595,Holy Cross Central School,Marion,F,50.0,195.0,2.9,9200.0,Archdiocese of Indianapolis,15.0,5.95%,252.0
44,C600,Immaculate Heart of Mary School,Marion,B,9.0,,,9200.0,Archdiocese of Indianapolis,33.0,7.62%,433.0
45,C605,Our Lady Of Lourdes School,Marion,C,23.0,99.0,3.30434782609,9200.0,Archdiocese of Indianapolis,27.0,10.76%,251.0
46,C615,Saint Anthony Catholic School,Marion,C,9.0,200.0,21.2222222222,9200.0,Archdiocese of Indianapolis,9.0,3.69%,244.0
47,C623,Providence Cristo Rey High School,Marion,B,65.0,246.0,2.78461538462,9200.0,Archdiocese of Indianapolis,0.0,0.00%,256.0
48,C625,Central Catholic School,Marion,F,44.0,188.0,3.27272727273,9200.0,Archdiocese of Indianapolis,10.0,4.48%,223.0
49,C645,Saint Joan Of Arc School,Marion,A,40.0,177.0,3.425,9200.0,Archdiocese of Indianapolis,45.0,11.54%,390.0
50,C650,Saint Michael The Archangel School,Marion,B,61.0,279.0,3.5737704918,9200.0,Archdiocese of Indianapolis,30.0,8.60%,349.0
51,C655,Saint Philip Neri School,Marion,D,46.0,210.0,3.5652173913,9200.0,Archdiocese of Indianapolis,22.0,8.03%,274.0
52,C665,Saint Simon The Apostle School,Marion,A,,48.0,,9200.0,Archdiocese of Indianapolis,24.0,3.40%,706.0
53,C670,Saint Therese Little Flower School,Marion,C,53.0,224.0,3.22641509434,9200.0,Archdiocese of Indianapolis,19.0,5.97%,318.0
