,School No.,School Name,County,2011,2012,2013,2014,2015,2016
0,A260,Aboite Christian School,Huntington,,,,4450.36,4611.6,4388.74
1,C905,Adventist Christian Elementary,Monroe,,,,,3671.81,
2,A515,All Saints Catholic School,Cass,,4160.55,4281.43,2919.91,,
3,B806,Ambassador Christian Academy,Lake,4287.53,4467.3,4726.74,4815.42,4780.28,6026.79
4,C250,Anderson Christian School,Madison,,3736.78,4087.92,4489.45,4589.89,4711.62
5,B760,Andrean High School,Lake,5448.09,5425.13,5650.45,5297.93,4981.06,5144.46
6,B755,Aquinas School at Saint Andrew's,Lake,3734.78,4140.72,4287.78,4299.31,4381.42,4332.95
7,A248,Ascension Lutheran School,Allen,,,1370.37,1710.27,2304.78,2454.31
8,B764,Avicenna Academy,Lake,,,4813.64,4458.71,4527.61,5364.79
9,C575,Baptist Academy,Marion,4229.79,4368.87,4245.82,4431.42,5076.97,4993.89
10,B015,Bethany Christian School,Elkhart,3828.21,4253.63,4260.64,4360.75,4525.16,4528.19
11,B290,Bethesda Christian School,Hendricks,,4333.69,4172.63,4019.51,3898.49,4046.12
12,C705,Bishop Chatard High School,Marion,5437.15,5665.29,5318.72,4933.21,4703.97,4884.52
13,A120,Bishop Dwenger High School,Allen,4766.02,4942.92,4738.59,4509.7,4324.97,4443.09
14,A125,Bishop Luers High School,Allen,4824.79,5274.51,5364.83,5065.63,4742.79,4822.37
15,B970,Bishop Noll Institute,Lake,5590.13,6031.11,6313.58,6045.57,5611.2,5778.15
16,A172,Blackhawk Christian Elementary School,Allen,3943.7,3760.46,3966.33,3774.09,4059.26,4094.32
17,A170,Blackhawk Christian Jr/Sr High School,Allen,4446.86,4210.79,4201.96,3971.29,4209.21,4380.19
18,C360,Brebeuf Jesuit Preparatory School,Marion,4273.49,4470.71,4082.41,4194.19,4104.49,4072.63
19,C396,Burge Terrace Christian School,Marion,,,,3940.11,3980.07,4602.15
20,B815,Calumet Christian School,Lake,,,3676.98,3427.32,4361.4,4546.47
21,C580,Calvary Christian School,Marion,3301.89,3708.91,3764.72,3871.18,4038.7,3926.42
22,C315,Calvary Lutheran School,Marion,4175.5,3673.1,3762.36,3894.39,3950.85,4175.96
23,C690,Capitol City Seventh Day Adventist Church School,Marion,,2993.46,4432.91,4511.45,4681.42,4647.23
24,C715,Cardinal Ritter High School,Marion,5177.25,5106.11,5358.78,5041.07,4874.06,5226.88
25,C700,Cathedral High School,Marion,4842.13,4805.45,5254.25,4821.57,4580.09,4687.52
26,D415,Central Catholic Jr/Sr High School,Tippecanoe,,3588.42,4180.51,4067.97,4152.82,4241.73
27,C625,Central Catholic School,Marion,4483.55,4447.11,4647.81,4756.02,5588.1,5957.83
28,A249,Central Christian School,Allen,3580.69,4130.15,4216.31,3806.75,3841.91,3787.78
29,A370,Central Lutheran School,Allen,,,,2836.75,3481.9,3471.78
30,C585,Christ The King School,Marion,4090.87,4133.12,3682.32,3761.65,3714.37,3941.02
31,D230,Christ The King School,St Joseph,,3815.19,3706.21,3534.09,3807.73,3832.53
32,D545,Christ The King School,Vanderburgh,,3683.88,3367.64,3584.97,3756.57,4177.23
33,B045,Christian Academy of Indiana,Floyd,4128.06,4078.55,4092.65,4158.76,4137.61,4056.7
34,B493,Christian Academy of Madison,Jefferson,,3407.98,2964.62,3013.9,3125.34,3333.67
35,B195,Cicero Adventist School,Hamilton,,,,,,
36,B985,City Baptist Schools,Lake,,3000.0,,,,
37,C933,Clear Creek Christian School,Monroe,,3383.51,3393.31,3488.37,3760.8,3634.24
38,A479,ClearView Education,Boone,,,,,,
39,A875,Clinton Christian School,Elkhart,,4181.75,4183.97,4239.74,3991.93,4213.91
40,C495,Colonial Christian School,Marion,,,3699.35,3809.09,3858.37,4096.77
41,A450,Columbus Christian School Inc.,Bartholomew,4302.31,4293.16,4370.16,4302.8,4306.42,4396.78
42,D305,Community Baptist Christian School,St. Joseph,,,4007.26,3983.32,3928.84,3975.52
43,D862,Community Christian School,Wayne,,3921.07,3847.41,3889.4,3972.19,3689.74
44,A205,Concordia Evangelical Lutheran School,Allen,,3774.59,3611.58,3691.19,3802.04,3991.56
45,A195,Concordia Lutheran High School,Allen,4842.74,5080.4,5068.66,4668.78,4455.73,4599.87
46,C281,Cornerstone Baptist Academy,Marion,,,4332.88,4344.15,4445.26,4552.13
47,A236,Cornerstone College Preparatory School,Allen,4596.94,4628.5,5001.68,4991.49,4968.7,5633.53
48,D235,Corpus Christi School,St Joseph,,3915.92,3782.32,3641.99,3669.33,3705.97
49,D550,Corpus Christi School,Vanderburgh,,,2528.65,2094.12,2161.85,2480.14
50,B469,Covenant Christian High School,Jasper,,,4350.09,3830.81,3878.63,3934.78
51,C527,Covenant Christian High School,Marion,5125.21,4751.74,4407.97,4182.21,4103.44,4292.88
52,D189,Covenant Christian School,St Joseph,,4267.48,4202.81,4415.31,4489.48,4935.55
53,B085,Covington Christian School,Fountain,,3213.94,3618.62,3586.08,3808.72,3872.62
54,C215,Cross Street Christian School,Madison,,,,,4106.25,4431.07
55,B009,Crossing Educational Center,Elkhart,,,5193.62,5441.88,5235.49,5418.65
56,C514,Crosspointe Christian Academy,Marion,,,3448.33,3419.57,3624.72,3865.53
57,A275,Crossroad Academy,Allen,,,,,,5424.88
58,B771,Crown Point Christian School,Lake,,,,3452.42,3386.09,3374.95
59,C223,Delaware Christian Academy,Delaware,,,,4800.0,5836.36,6098.63
