,Corp ID,Corp Name,School ID,School Name,County,Grade,SC 2011,SC 2016,Count % Change,SpecEd 2016,SpecEd Perc,Enrollment 2016,Voucher Perc
0,9200.0,Archdiocese of Indianapolis,A425,Saint Bartholomew School,Bartholomew,A,9.0,122.0,12.5555555556,19.0,5.08,374.0,32.62
1,9200.0,Archdiocese of Indianapolis,A550,Saint Paul School,Clark,B,9.0,49.0,4.44444444444,30.0,9.09,330.0,14.85
2,9200.0,Archdiocese of Indianapolis,A560,Saint Anthony School,Clark,A,10.0,179.0,16.9,41.0,12.24,335.0,53.43
3,9200.0,Archdiocese of Indianapolis,A570,Sacred Heart School,Clark,A,18.0,99.0,4.5,22.0,12.09,182.0,54.4
4,9200.0,Archdiocese of Indianapolis,A575,Our Lady Of Providence High School,Clark,A,,107.0,,34.0,6.95,489.0,21.88
5,9200.0,Archdiocese of Indianapolis,A680,Saint Nicholas School,Ripley,A,,,,6.0,5.56,108.0,
6,9200.0,Archdiocese of Indianapolis,A685,Saint Paul Catholic School,Dearborn,C,9.0,43.0,3.77777777778,10.0,16.13,62.0,69.35
7,9200.0,Archdiocese of Indianapolis,A690,Saint Mary School,Dearborn,B,,53.0,,12.0,10.91,110.0,48.18
8,9200.0,Archdiocese of Indianapolis,A700,Saint Lawrence School,Dearborn,C,9.0,37.0,3.11111111111,12.0,5.8,207.0,17.87
9,9200.0,Archdiocese of Indianapolis,A730,Saint Mary School,Decatur,A,9.0,23.0,1.55555555556,26.0,10.24,254.0,9.06
10,9200.0,Archdiocese of Indianapolis,B035,Saint Gabriel Parochial School,Fayette,A,,78.0,,9.0,6.47,139.0,56.12
11,9200.0,Archdiocese of Indianapolis,B050,Holy Family School,Floyd,B,,58.0,,18.0,5.31,339.0,17.11
12,9200.0,Archdiocese of Indianapolis,B060,Our Lady Of Perpetual School,Floyd,A,12.0,71.0,4.91666666667,29.0,8.01,362.0,19.61
13,9200.0,Archdiocese of Indianapolis,B067,Saint Mary of-the-Knobs Catholic School,Floyd,A,9.0,24.0,1.66666666667,15.0,7.39,203.0,11.82
14,9200.0,Archdiocese of Indianapolis,B095,Saint Michael School,Franklin,A,,31.0,,18.0,7.93,227.0,13.66
15,9200.0,Archdiocese of Indianapolis,B265,Saint Michael School,Hancock,A,,52.0,,19.0,8.72,218.0,23.85
16,9200.0,Archdiocese of Indianapolis,B280,Saint Joseph School,Harrison,B,9.0,40.0,3.44444444444,9.0,11.25,80.0,50.0
17,9200.0,Archdiocese of Indianapolis,B285,Saint Malachy School,Hendricks,A,,124.0,,29.0,6.92,419.0,29.59
18,9200.0,Archdiocese of Indianapolis,B300,Saint Susanna School,Hendricks,A,,50.0,,27.0,11.25,240.0,20.83
19,9200.0,Archdiocese of Indianapolis,B440,Saint Ambrose School,Jackson,A,,67.0,,14.0,9.59,146.0,45.89
20,9200.0,Archdiocese of Indianapolis,B505,Shawe Memorial High School,Jefferson,B,,71.0,,7.0,4.52,155.0,45.81
21,9200.0,Archdiocese of Indianapolis,B510,Pope John XXIII School,Jefferson,C,,153.0,,11.0,3.54,311.0,49.2
22,9200.0,Archdiocese of Indianapolis,B515,Saint Mary School,Jennings,A,,65.0,,12.0,6.67,180.0,36.11
23,9200.0,Archdiocese of Indianapolis,B518,Saint Rose of Lima School,Johnson,B,,94.0,,17.0,9.6,177.0,53.11
24,9200.0,Archdiocese of Indianapolis,B535,Our Lady Of The Greenwood School,Johnson,B,11.0,140.0,11.7272727273,28.0,9.4,298.0,46.98
25,9200.0,Archdiocese of Indianapolis,B540,Saints Francis and Clare Catholic School,Johnson,A,,106.0,,55.0,10.62,518.0,20.46
26,9200.0,Archdiocese of Indianapolis,C160,Saint Vincent DePaul School,Lawrence,A,,76.0,,11.0,5.76,191.0,39.79
27,9200.0,Archdiocese of Indianapolis,C265,Nativity School,Marion,A,14.0,100.0,6.14285714286,27.0,6.73,401.0,24.94
28,9200.0,Archdiocese of Indianapolis,C280,Saint Lawrence School,Marion,C,43.0,158.0,2.67441860465,22.0,8.87,248.0,63.71
29,9200.0,Archdiocese of Indianapolis,C295,Saint Barnabas School,Marion,A,,128.0,,39.0,7.29,535.0,23.93
30,9200.0,Archdiocese of Indianapolis,C300,Saint Jude Elementary School,Marion,A,,137.0,,44.0,8.91,494.0,27.73
31,9200.0,Archdiocese of Indianapolis,C305,Saint Mark School,Marion,B,27.0,145.0,4.37037037037,27.0,8.63,313.0,46.33
32,9200.0,Archdiocese of Indianapolis,C310,Saint Roch School,Marion,A,16.0,103.0,5.4375,29.0,9.57,303.0,33.99
33,9200.0,Archdiocese of Indianapolis,C320,Roncalli High School,Marion,A,22.0,342.0,14.5454545455,99.0,8.36,1184.0,28.89
34,9200.0,Archdiocese of Indianapolis,C360,Brebeuf Jesuit Preparatory School,Marion,A,11.0,85.0,6.72727272727,6.0,0.76,794.0,10.71
35,9200.0,Archdiocese of Indianapolis,C390,Holy Spirit School,Marion,B,80.0,254.0,2.175,20.0,4.95,404.0,62.87
36,9200.0,Archdiocese of Indianapolis,C435,Saint Luke School,Marion,A,,100.0,,63.0,10.52,599.0,16.69
37,9200.0,Archdiocese of Indianapolis,C440,Saint Matthew School,Marion,A,,131.0,,51.0,12.38,412.0,31.8
38,9200.0,Archdiocese of Indianapolis,C445,Saint Monica School,Marion,B,37.0,200.0,4.40540540541,48.0,11.62,413.0,48.43
39,9200.0,Archdiocese of Indianapolis,C450,Saint Pius X School,Marion,A,,50.0,,46.0,10.93,421.0,11.88
40,9200.0,Archdiocese of Indianapolis,C545,Holy Name School,Marion,B,12.0,133.0,10.0833333333,30.0,11.19,268.0,49.63
41,9200.0,Archdiocese of Indianapolis,C585,Christ The King School,Marion,A,15.0,98.0,5.53333333333,43.0,12.65,340.0,28.82
42,9200.0,Archdiocese of Indianapolis,C590,Holy Angels Catholic School,Marion,D,22.0,70.0,2.18181818182,13.0,13.4,97.0,72.16
43,9200.0,Archdiocese of Indianapolis,C595,Holy Cross Central School,Marion,F,50.0,195.0,2.9,15.0,5.95,252.0,77.38
44,9200.0,Archdiocese of Indianapolis,C600,Immaculate Heart of Mary School,Marion,B,9.0,,,33.0,7.62,433.0,
45,9200.0,Archdiocese of Indianapolis,C605,Our Lady Of Lourdes School,Marion,C,23.0,99.0,3.30434782609,27.0,10.76,251.0,39.44
46,9200.0,Archdiocese of Indianapolis,C615,Saint Anthony Catholic School,Marion,C,9.0,200.0,21.2222222222,9.0,3.69,244.0,81.97
47,9200.0,Archdiocese of Indianapolis,C623,Providence Cristo Rey High School,Marion,B,65.0,246.0,2.78461538462,0.0,0.0,256.0,96.09
48,9200.0,Archdiocese of Indianapolis,C625,Central Catholic School,Marion,F,44.0,188.0,3.27272727273,10.0,4.48,223.0,84.3
49,9200.0,Archdiocese of Indianapolis,C645,Saint Joan Of Arc School,Marion,A,40.0,177.0,3.425,45.0,11.54,390.0,45.38
50,9200.0,Archdiocese of Indianapolis,C650,Saint Michael The Archangel School,Marion,B,61.0,279.0,3.5737704918,30.0,8.6,349.0,79.94
51,9200.0,Archdiocese of Indianapolis,C655,Saint Philip Neri School,Marion,D,46.0,210.0,3.5652173913,22.0,8.03,274.0,76.64
52,9200.0,Archdiocese of Indianapolis,C665,Saint Simon The Apostle School,Marion,A,,48.0,,24.0,3.4,706.0,6.8
53,9200.0,Archdiocese of Indianapolis,C670,Saint Therese Little Flower School,Marion,C,53.0,224.0,3.22641509434,19.0,5.97,318.0,70.44
54,9200.0,Archdiocese of Indianapolis,C675,Saint Thomas Aquinas School,Marion,B,,48.0,,25.0,12.02,208.0,23.08
55,9200.0,Archdiocese of Indianapolis,C700,Cathedral High School,Marion,A,18.0,250.0,12.8888888889,61.0,5.15,1184.0,21.11
56,9200.0,Archdiocese of Indianapolis,C705,Bishop Chatard High School,Marion,A,19.0,194.0,9.21052631579,48.0,6.86,700.0,27.71
57,9200.0,Archdiocese of Indianapolis,C710,Scecina Memorial School,Marion,B,40.0,311.0,6.775,5.0,1.11,449.0,69.27
58,9200.0,Archdiocese of Indianapolis,C715,Cardinal Ritter High School,Marion,B,61.0,330.0,4.40983606557,30.0,4.52,663.0,49.77
