Geographic Area,Fips Code,2016
Indiana,18000," 6,633,053 "
Adams County,18001," 35,232 "
Allen County,18003," 370,404 "
Bartholomew County,18005," 81,402 "
Benton County,18007," 8,650 "
Blackford County,18009," 12,149 "
Boone County,18011," 64,653 "
Brown County,18013," 14,912 "
Carroll County,18015," 19,970 "
Cass County,18017," 37,946 "
Clark County,18019," 116,031 "
Clay County,18021," 26,309 "
Clinton County,18023," 32,457 "
Crawford County,18025," 10,539 "
Daviess County,18027," 32,969 "
Dearborn County,18029," 49,331 "
Decatur County,18031," 26,598 "
DeKalb County,18033," 42,746 "
Delaware County,18035," 115,603 "
Dubois County,18037," 42,552 "
Elkhart County,18039," 203,781 "
Fayette County,18041," 23,331 "
Floyd County,18043," 76,990 "
Fountain County,18045," 16,486 "
Franklin County,18047," 22,715 "
Fulton County,18049," 20,139 "
Gibson County,18051," 33,703 "
Grant County,18053," 66,937 "
Greene County,18055," 32,211 "
Hamilton County,18057," 316,373 "
Hancock County,18059," 73,717 "
Harrison County,18061," 39,826 "
Hendricks County,18063," 160,610 "
Henry County,18065," 48,521 "
Howard County,18067," 82,568 "
Huntington County,18069," 36,400 "
Jackson County,18071," 44,013 "
Jasper County,18073," 33,433 "
Jay County,18075," 21,046 "
Jefferson County,18077," 32,418 "
Jennings County,18079," 27,758 "
Johnson County,18081," 151,982 "
Knox County,18083," 37,744 "
Kosciusko County,18085," 79,092 "
LaGrange County,18087," 39,110 "
Lake County,18089," 485,846 "
LaPorte County,18091," 110,015 "
Lawrence County,18093," 45,518 "
Madison County,18095," 129,296 "
Marion County,18097," 941,229 "
Marshall County,18099," 46,556 "
Martin County,18101," 10,171 "
Miami County,18103," 35,883 "
Monroe County,18105," 145,496 "
Montgomery County,18107," 38,074 "
Morgan County,18109," 69,698 "
Newton County,18111," 13,924 "
Noble County,18113," 47,638 "
Ohio County,18115," 5,932 "
Orange County,18117," 19,335 "
Owen County,18119," 20,840 "
Parke County,18121," 16,800 "
Perry County,18123," 18,966 "
Pike County,18125," 12,431 "
Porter County,18127," 167,791 "
Posey County,18129," 25,476 "
Pulaski County,18131," 12,660 "
Putnam County,18133," 37,436 "
Randolph County,18135," 25,082 "
Ripley County,18137," 28,846 "
Rush County,18139," 16,649 "
St. Joseph County,18141," 269,141 "
Scott County,18143," 23,730 "
Shelby County,18145," 44,324 "
Spencer County,18147," 20,648 "
Starke County,18149," 23,009 "
Steuben County,18151," 34,116 "
Sullivan County,18153," 20,802 "
Switzerland County,18155," 10,527 "
Tippecanoe County,18157," 188,059 "
Tipton County,18159," 15,182 "
Union County,18161," 7,212 "
Vanderburgh County,18163," 181,721 "
Vermillion County,18165," 15,645 "
Vigo County,18167," 107,931 "
Wabash County,18169," 31,762 "
Warren County,18171," 8,166 "
Warrick County,18173," 62,498 "
Washington County,18175," 27,670 "
Wayne County,18177," 66,568 "
Wells County,18179," 27,949 "
White County,18181," 23,999 "
Whitley County,18183," 33,449 "
