CORP,CORP_NAME,SCHL_NAME_CODE,SCHL_NAME,ENR_ELL_N,ENR_ELL_RATIO,ENR_SPEC_ED_N,ENR_SPEC_ED_RATIO,ENROLLMENT_N
9200,Archdiocese of Indianapolis,,,1022,4.45%,1683,7.34%,22942
9200,Archdiocese of Indianapolis,A425,St Bartholomew School,43,11.50%,19,5.08%,374
9200,Archdiocese of Indianapolis,A550,St John Paul II Catholic School,2,0.61%,30,9.09%,330
9200,Archdiocese of Indianapolis,A560,Saint Anthony of Padua,21,6.27%,41,12.24%,335
9200,Archdiocese of Indianapolis,A570,Sacred Heart School,0,0.00%,22,12.09%,182
9200,Archdiocese of Indianapolis,A575,Our Lady Of Providence High School,2,0.41%,34,6.95%,489
9200,Archdiocese of Indianapolis,A680,Saint Nicholas School,0,0.00%,6,5.56%,108
9200,Archdiocese of Indianapolis,A685,All Saints Catholic Academy,0,0.00%,10,16.13%,62
9200,Archdiocese of Indianapolis,A690,Saint Mary School,0,0.00%,12,10.91%,110
9200,Archdiocese of Indianapolis,A700,Saint Lawrence School,0,0.00%,12,5.80%,207
9200,Archdiocese of Indianapolis,A730,Saint Mary's School,0,0.00%,26,10.24%,254
9200,Archdiocese of Indianapolis,B035,Saint Gabriel Catholic School,0,0.00%,9,6.47%,139
9200,Archdiocese of Indianapolis,B050,Holy Family School,4,1.18%,18,5.31%,339
9200,Archdiocese of Indianapolis,B060,Our Lady Of Perpetual School,4,1.10%,29,8.01%,362
9200,Archdiocese of Indianapolis,B067,St Mary of-the-Knobs Catholic Sch,1,0.49%,15,7.39%,203
9200,Archdiocese of Indianapolis,B095,Saint Michael School,0,0.00%,18,7.93%,227
9200,Archdiocese of Indianapolis,B265,Saint Michael School,1,0.46%,19,8.72%,218
9200,Archdiocese of Indianapolis,B280,Saint Joseph School,3,3.75%,9,11.25%,80
9200,Archdiocese of Indianapolis,B285,Saint Malachy School,7,1.67%,29,6.92%,419
9200,Archdiocese of Indianapolis,B300,Saint Susanna School,5,2.08%,27,11.25%,240
9200,Archdiocese of Indianapolis,B440,Saint Ambrose School,34,23.29%,14,9.59%,146
9200,Archdiocese of Indianapolis,B505,Shawe Memorial High School,7,4.52%,7,4.52%,155
9200,Archdiocese of Indianapolis,B510,Pope John XXIII Elementary School,20,6.43%,11,3.54%,311
9200,Archdiocese of Indianapolis,B515,Saint Mary School,2,1.11%,12,6.67%,180
9200,Archdiocese of Indianapolis,B518,St Rose of Lima School,0,0.00%,17,9.60%,177
9200,Archdiocese of Indianapolis,B535,Our Lady of the Greenwood School,18,6.04%,28,9.40%,298
9200,Archdiocese of Indianapolis,B540,SS Francis and Clare Catholic Sch,3,0.58%,55,10.62%,518
9200,Archdiocese of Indianapolis,C160,Saint Vincent DePaul School,1,0.52%,11,5.76%,191
9200,Archdiocese of Indianapolis,C265,Nativity Catholic School,4,1.00%,27,6.73%,401
9200,Archdiocese of Indianapolis,C280,Saint Lawrence School,26,10.48%,22,8.87%,248
9200,Archdiocese of Indianapolis,C295,Saint Barnabas School,4,0.75%,39,7.29%,535
9200,Archdiocese of Indianapolis,C300,Saint Jude Elementary School,2,0.40%,44,8.91%,494
9200,Archdiocese of Indianapolis,C305,Saint Mark School,47,15.02%,27,8.63%,313
9200,Archdiocese of Indianapolis,C310,Saint Roch School,0,0.00%,29,9.57%,303
9200,Archdiocese of Indianapolis,C320,Roncalli High School,16,1.35%,99,8.36%,1184
9200,Archdiocese of Indianapolis,C360,Brebeuf Jesuit Preparatory School,0,0.00%,6,0.76%,794
9200,Archdiocese of Indianapolis,C390,Holy Spirit School,66,16.34%,20,4.95%,404
9200,Archdiocese of Indianapolis,C435,Saint Luke School,8,1.34%,63,10.52%,599
9200,Archdiocese of Indianapolis,C440,Saint Matthew School,0,0.00%,51,12.38%,412
9200,Archdiocese of Indianapolis,C445,Saint Monica School,55,13.32%,48,11.62%,413
9200,Archdiocese of Indianapolis,C450,Saint Pius X School,0,0.00%,46,10.93%,421
9200,Archdiocese of Indianapolis,C545,Holy Name Catholic School,4,1.49%,30,11.19%,268
9200,Archdiocese of Indianapolis,C585,Christ The King School,0,0.00%,43,12.65%,340
9200,Archdiocese of Indianapolis,C590,Holy Angels Catholic School,0,0.00%,13,13.40%,97
9200,Archdiocese of Indianapolis,C595,Holy Cross Central School,67,26.59%,15,5.95%,252
9200,Archdiocese of Indianapolis,C600,Immaculate Heart of Mary School,0,0.00%,33,7.62%,433
9200,Archdiocese of Indianapolis,C605,Our Lady Of Lourdes School,0,0.00%,27,10.76%,251
9200,Archdiocese of Indianapolis,C615,St Anthony Catholic School,115,47.13%,9,3.69%,244
9200,Archdiocese of Indianapolis,C623,Providence Cristo Rey High School,11,4.30%,0,0.00%,256
9200,Archdiocese of Indianapolis,C625,Central Catholic School,77,34.53%,10,4.48%,223
9200,Archdiocese of Indianapolis,C645,Saint Joan Of Arc School,0,0.00%,45,11.54%,390
9200,Archdiocese of Indianapolis,C650,St Michael The Archangel School,85,24.36%,30,8.60%,349
9200,Archdiocese of Indianapolis,C655,Saint Philip Neri School,111,40.51%,22,8.03%,274
9200,Archdiocese of Indianapolis,C665,Saint Simon The Apostle School,0,0.00%,24,3.40%,706
9200,Archdiocese of Indianapolis,C670,St Therese Little Flower School,13,4.09%,19,5.97%,318
9200,Archdiocese of Indianapolis,C675,Saint Thomas Aquinas School,0,0.00%,25,12.02%,208
9200,Archdiocese of Indianapolis,C700,Cathedral High School,0,0.00%,61,5.15%,1184
9200,Archdiocese of Indianapolis,C705,Bishop Chatard High School,1,0.14%,48,6.86%,700
9200,Archdiocese of Indianapolis,C710,Scecina Memorial High School,21,4.68%,5,1.11%,449
9200,Archdiocese of Indianapolis,C715,Cardinal Ritter High School,43,6.49%,30,4.52%,663
9200,Archdiocese of Indianapolis,C795,Saint Christopher School,30,14.71%,12,5.88%,204
9200,Archdiocese of Indianapolis,C900,Saint Charles Boromeo School,8,2.01%,32,8.02%,399
9200,Archdiocese of Indianapolis,D130,Saint Louis School,3,0.90%,28,8.36%,335
9200,Archdiocese of Indianapolis,D135,Oldenburg Academy,3,1.43%,6,2.86%,210
9200,Archdiocese of Indianapolis,D140,Saint Mary Elementary School,4,3.88%,14,13.59%,103
9200,Archdiocese of Indianapolis,D335,Saint Joseph School,9,6.77%,7,5.26%,133
9200,Archdiocese of Indianapolis,D720,Saint Patrick School,3,0.90%,3,0.90%,335
9200,Archdiocese of Indianapolis,D840,Seton Catholic Elementary,6,2.08%,16,5.54%,289
9200,Archdiocese of Indianapolis,D842,Seton Catholic High School,2,1.30%,15,9.74%,154
9205,Diocese of Gary,,,328,5.54%,240,4.05%,5924
