CORP,CORP_NAME,SCHL_NAME_CODE,SCHL_NAME,ENR_ELL_N,ENR_ELL_RATIO,ENR_SPEC_ED_N,ENR_SPEC_ED_RATIO,ENROLLMENT_N
15,Adams Central Community Schools,,,35,2.78%,132,10.48%,1259
15,Adams Central Community Schools,13,Adams Central Middle School,5,1.86%,16,5.95%,269
15,Adams Central Community Schools,20,Adams Central Elementary School,22,3.59%,88,14.38%,612
15,Adams Central Community Schools,21,Adams Central High School,8,2.12%,28,7.41%,378
25,North Adams Community Schools,,,10,0.55%,260,14.37%,1809
25,North Adams Community Schools,29,Bellmont Senior High School,3,0.43%,62,8.97%,691
25,North Adams Community Schools,33,Bellmont Middle School,4,0.86%,79,16.99%,465
25,North Adams Community Schools,37,Northwest Elementary,2,0.56%,70,19.44%,360
25,North Adams Community Schools,41,Southeast Elementary School,1,0.34%,49,16.72%,293
35,South Adams Schools,,,88,6.78%,195,15.02%,1298
35,South Adams Schools,17,South Adams Middle School,15,4.84%,34,10.97%,310
35,South Adams Schools,23,South Adams High School,10,2.71%,36,9.76%,369
35,South Adams Schools,25,South Adams Elementary School,63,10.18%,125,20.19%,619
125,M S D Southwest Allen County Schls,,,37,0.51%,565,7.86%,7190
125,M S D Southwest Allen County Schls,45,Aboite Elementary School,1,0.21%,16,3.42%,468
125,M S D Southwest Allen County Schls,46,Whispering Meadow Elementary Sch,17,3.51%,50,10.31%,485
125,M S D Southwest Allen County Schls,47,Homestead Senior High School,5,0.21%,201,8.56%,2348
125,M S D Southwest Allen County Schls,63,Summit Middle School,2,0.28%,66,9.35%,706
125,M S D Southwest Allen County Schls,64,Lafayette Meadow School,1,0.18%,36,6.45%,558
125,M S D Southwest Allen County Schls,67,Woodside Middle School,5,0.48%,73,7.07%,1033
125,M S D Southwest Allen County Schls,68,Haverhill Elementary School,1,0.26%,37,9.46%,391
125,M S D Southwest Allen County Schls,71,Deer Ridge Elementary,3,0.72%,31,7.49%,414
125,M S D Southwest Allen County Schls,72,Covington Elementary School,2,0.25%,55,6.99%,787
