CORP_NAME_CODE1,CORP_NAME1,SCHL_NAME_CODE,SCHL_NAME,GRADE,ENROLLMENT_N,ENROLLMENT_N1
9200,Archdiocese of Indianapolis,A425,St Bartholomew School,Pre-Kindergarten,,374
9200,Archdiocese of Indianapolis,A425,St Bartholomew School,Kindergarten,33,374
9200,Archdiocese of Indianapolis,A425,St Bartholomew School,Grade 1,44,374
9200,Archdiocese of Indianapolis,A425,St Bartholomew School,Grade 2,46,374
9200,Archdiocese of Indianapolis,A425,St Bartholomew School,Grade 3,49,374
9200,Archdiocese of Indianapolis,A425,St Bartholomew School,Grade 4,38,374
9200,Archdiocese of Indianapolis,A425,St Bartholomew School,Grade 5,42,374
9200,Archdiocese of Indianapolis,A425,St Bartholomew School,Grade 6,56,374
9200,Archdiocese of Indianapolis,A425,St Bartholomew School,Grade 7,33,374
9200,Archdiocese of Indianapolis,A425,St Bartholomew School,Grade 8,33,374
9200,Archdiocese of Indianapolis,A425,St Bartholomew School,Grade 9,,374
9200,Archdiocese of Indianapolis,A425,St Bartholomew School,Grade 10,,374
9200,Archdiocese of Indianapolis,A425,St Bartholomew School,Grade 11,,374
9200,Archdiocese of Indianapolis,A425,St Bartholomew School,Grade 12,,374
9200,Archdiocese of Indianapolis,A425,St Bartholomew School,Grade 12+/Adult,,374
9200,Archdiocese of Indianapolis,A550,St John Paul II Catholic School,Pre-Kindergarten,109,330
9200,Archdiocese of Indianapolis,A550,St John Paul II Catholic School,Kindergarten,29,330
9200,Archdiocese of Indianapolis,A550,St John Paul II Catholic School,Grade 1,34,330
9200,Archdiocese of Indianapolis,A550,St John Paul II Catholic School,Grade 2,33,330
9200,Archdiocese of Indianapolis,A550,St John Paul II Catholic School,Grade 3,35,330
9200,Archdiocese of Indianapolis,A550,St John Paul II Catholic School,Grade 4,32,330
9200,Archdiocese of Indianapolis,A550,St John Paul II Catholic School,Grade 5,32,330
9200,Archdiocese of Indianapolis,A550,St John Paul II Catholic School,Grade 6,26,330
9200,Archdiocese of Indianapolis,A550,St John Paul II Catholic School,Grade 7,,330
9200,Archdiocese of Indianapolis,A550,St John Paul II Catholic School,Grade 8,,330
9200,Archdiocese of Indianapolis,A550,St John Paul II Catholic School,Grade 9,,330
9200,Archdiocese of Indianapolis,A550,St John Paul II Catholic School,Grade 10,,330
9200,Archdiocese of Indianapolis,A550,St John Paul II Catholic School,Grade 11,,330
