CORP,CORP_NAME,ENR_ELL_N,ENR_ELL_RATIO,ENR_SPEC_ED_N,ENR_SPEC_ED_RATIO,ENROLLMENT_N
15,Adams Central Community Schools,35,2.78%,132,10.48%,1259
25,North Adams Community Schools,10,0.55%,260,14.37%,1809
35,South Adams Schools,88,6.78%,195,15.02%,1298
125,M S D Southwest Allen County Schls,37,0.51%,565,7.86%,7190
225,Northwest Allen County Schools,85,1.15%,887,12.05%,7362
235,Fort Wayne Community Schools,2295,7.81%,4514,15.37%,29377
255,East Allen County Schools,676,7.06%,1113,11.63%,9569
365,Bartholomew Con School Corp,853,7.38%,1431,12.38%,11562
370,Flat Rock-Hawcreek School Corp,9,1.04%,124,14.37%,863
395,Benton Community School Corp,44,2.35%,438,23.41%,1871
515,Blackford County Schools,14,0.82%,285,16.69%,1708
615,Western Boone Co Com Sch Dist,4,0.23%,279,16.33%,1709
630,Zionsville Community Schools,49,0.71%,813,11.73%,6931
665,Lebanon Community School Corp,52,1.51%,639,18.61%,3434
670,Brown County School Corporation,6,0.30%,493,24.64%,2001
750,Carroll Consolidated School Corp,2,0.18%,108,9.73%,1110
755,Delphi Community School Corp,57,4.04%,154,10.91%,1411
775,Pioneer Regional School Corp,18,1.98%,107,11.75%,911
815,Southeastern School Corp,21,1.57%,143,10.68%,1339
875,Logansport Community Sch Corp,913,21.46%,499,11.73%,4254
940,West Clark Community Schools,130,2.73%,670,14.07%,4761
1000,Clarksville Community School Corp,60,4.28%,236,16.83%,1402
1010,Greater Clark County Schools,562,5.33%,1718,16.29%,10544
1125,Clay Community Schools,7,0.17%,865,20.46%,4228
1150,Clinton Central School Corporation,0,0.00%,108,11.66%,926
1160,Clinton Prairie School Corporation,25,2.08%,161,13.39%,1202
1170,Community Schools of Frankfort,708,22.17%,408,12.78%,3193
1180,Rossville Con School District,6,0.60%,108,10.88%,993
1300,Crawford County Community Sch Corp,2,0.13%,317,20.39%,1555
1315,Barr-Reeve Community Schools Inc,0,0.00%,87,10.61%,820
1375,North Daviess Com Schools,30,2.57%,176,15.09%,1166
1405,Washington Community Schools,260,10.07%,569,22.03%,2583
1560,Sunman-Dearborn Com Sch Corp,13,0.34%,589,15.45%,3812
1600,South Dearborn Community Sch Corp,3,0.12%,508,20.05%,2534
1620,Lawrenceburg Community School Corp,9,0.44%,324,15.98%,2028
1655,Decatur County Community Schools,5,0.25%,363,18.33%,1980
1730,Greensburg Community Schools,19,0.85%,358,15.93%,2248
1805,DeKalb Co Eastern Com Sch Dist,10,0.76%,226,17.15%,1318
1820,Garrett-Keyser-Butler Com Sch Corp,15,0.84%,284,15.98%,1777
1835,DeKalb Co Ctl United Sch Dist,35,0.94%,540,14.50%,3725
1875,Delaware Community School Corp,0,0.00%,411,15.68%,2622
1885,Wes-Del Community Schools,9,1.10%,130,15.91%,817
1895,Liberty-Perry Community Sch Corp,1,0.08%,183,15.12%,1210
1900,Cowan Community School Corp,1,0.13%,99,12.52%,791
1910,Yorktown Community Schools,24,0.95%,281,11.09%,2534
1940,Daleville Community Schools,2,0.22%,67,7.25%,924
1970,Muncie Community Schools,55,0.97%,1236,21.72%,5690
2040,Northeast Dubois Co Sch Corp,0,0.00%,191,20.65%,925
2100,Southeast Dubois Co Sch Corp,11,0.86%,160,12.46%,1284
2110,Southwest Dubois Co Sch Corp,240,13.89%,219,12.67%,1728
2120,Greater Jasper Consolidated Schs,179,5.61%,390,12.23%,3190
2155,Fairfield Community Schools,184,8.56%,232,10.79%,2150
2260,Baugo Community Schools,77,4.07%,201,10.62%,1892
2270,Concord Community Schools,817,15.15%,732,13.57%,5394
2275,Middlebury Community Schools,268,5.85%,535,11.68%,4579
2285,Wa-Nee Community Schools,115,3.87%,341,11.48%,2970
2305,Elkhart Community Schools,1658,12.76%,2137,16.45%,12993
2315,Goshen Community Schools,1342,20.30%,814,12.31%,6610
2395,Fayette County School Corporation,4,0.11%,569,15.97%,3562
2400,New Albany-Floyd Co Con Sch,190,1.66%,1935,16.94%,11420
2435,Attica Consolidated School Corp,6,0.82%,154,21.10%,730
2440,Covington Community School Corp,6,0.64%,140,14.88%,941
2455,Southeast Fountain School Corp,21,1.96%,138,12.90%,1070
2475,Franklin County Community Sch Corp,3,0.12%,362,14.57%,2484
2645,Rochester Community School Corp,22,1.20%,294,16.01%,1836
2650,Caston School Corporation,5,0.73%,65,9.43%,689
2725,East Gibson School Corporation,1,0.11%,196,21.73%,902
2735,North Gibson School Corp,34,1.66%,528,25.79%,2047
2765,South Gibson School Corporation,7,0.35%,372,18.76%,1983
2815,Eastbrook Community Sch Corp,10,0.62%,232,14.38%,1613
2825,Madison-Grant United School Corp,7,0.57%,203,16.54%,1227
2855,Mississinewa Community School Corp,15,0.59%,415,16.38%,2534
2865,Marion Community Schools,100,2.57%,601,15.42%,3898
2920,Bloomfield School District,4,0.48%,116,13.83%,839
2940,Eastern Greene Schools,4,0.33%,189,15.37%,1230
2950,Linton-Stockton School Corporation,7,0.49%,137,9.66%,1418
2960,M S D Shakamak Schools,0,0.00%,100,12.25%,816
2980,White River Valley School District,0,0.00%,118,14.75%,800
3005,Hamilton Southeastern Schools,515,2.41%,2192,10.26%,21367
3025,Hamilton Heights School Corp,19,0.81%,339,14.52%,2334
3030,Westfield-Washington Schools,196,2.58%,1145,15.09%,7590
3055,Sheridan Community Schools,10,0.97%,187,18.05%,1036
3060,Carmel Clay Schools,412,2.56%,1547,9.62%,16082
3070,Noblesville Schools,251,2.41%,1511,14.49%,10426
3115,Southern Hancock Co Com Sch Corp,18,0.51%,522,14.78%,3532
3125,Greenfield-Central Com Schools,10,0.22%,755,16.70%,4521
3135,Mt Vernon Community School Corp,18,0.46%,595,15.13%,3933
3145,Eastern Hancock Co Com Sch Corp,2,0.17%,217,17.92%,1211
3160,Lanesville Community School Corp,0,0.00%,97,12.97%,748
3180,North Harrison Com School Corp,7,0.31%,420,18.59%,2259
3190,South Harrison Com Schools,29,0.93%,524,16.79%,3120
3295,North West Hendricks Schools,5,0.26%,225,11.91%,1889
3305,Brownsburg Community School Corp,131,1.50%,1012,11.58%,8737
3315,Avon Community School Corp,317,3.38%,1378,14.67%,9392
