School No.,School Name,County,2011,2012,2013,2014,2015,2016
A260,Aboite Christian School,Huntington,,,,120159.69,166017.44,153605.76
C905,Adventist Christian Elementary,Monroe,,,,,36718.10,
A515,All Saints Catholic School,Cass,30905.00,79050.40,235478.40,198553.59,,
B806,Ambassador Christian Academy,Lake,471628.58,696899.15,1214772.15,991976.45,1003858.37,928125.24
C250,Anderson Christian School,Madison,,44841.42,122637.55,107746.74,169825.88,188464.91
B760,Andrean High School,Lake,223371.76,330932.78,644151.31,709922.71,866705.25,828258.42
B755,Aquinas School at Saint Andrew's,Lake,41082.59,128362.27,184374.49,275155.66,341750.63,342303.34
A248,Ascension Lutheran School,Allen,856.00,4577.00,43851.90,112877.61,179773.00,211070.30
B764,Avicenna Academy,Lake,,13444.75,52950.00,98091.63,131300.58,107295.75
C575,Baptist Academy,Marion,173421.38,358247.06,534973.59,615968.06,533081.67,324602.84
B015,Bethany Christian School,Elkhart,107189.86,263725.13,494234.26,562537.16,660672.96,715454.05
B290,Bethesda Christian School,Hendricks,22100.87,60671.72,154387.37,325580.00,358661.39,445073.31
C705,Bishop Chatard High School,Marion,103305.80,254938.26,505278.54,700515.32,799674.42,947596.59
A120,Bishop Dwenger High School,Allen,104852.43,212545.64,687095.69,1551338.24,1825136.00,1999392.34
A125,Bishop Luers High School,Allen,279838.07,574921.08,1072965.37,1534885.81,1626777.69,1885545.26
B970,Bishop Noll Institute,Lake,223605.07,566924.20,846020.00,1221205.50,1458911.08,1594769.69
A172,Blackhawk Christian Elementary School,Allen,122254.73,266992.56,543386.70,690657.65,848384.51,1007203.08
A170,Blackhawk Christian Jr/Sr High School,Allen,57809.20,172642.34,331955.23,524210.38,610335.27,683309.30
C360,Brebeuf Jesuit Preparatory School,Marion,47008.43,67060.66,134719.55,192932.86,279105.39,346173.80
C396,Burge Terrace Christian School,Marion,,,,149724.33,171142.96,184086.08
B815,Calumet Christian School,Lake,,,91924.52,154229.57,314020.47,481926.02
C580,Calvary Christian School,Marion,105660.59,207698.91,410355.02,514867.55,533108.80,486875.71
C315,Calvary Lutheran School,Marion,83510.04,146923.84,300989.17,432277.75,474101.48,471883.90
C690,Capitol City Seventh Day Adventist Church School,Marion,5670.00,74836.57,208346.99,230083.96,140442.56,111533.55
C715,Cardinal Ritter High School,Marion,315812.27,566777.83,1130703.33,1270349.28,1452470.79,1724870.82
C700,Cathedral High School,Marion,87158.42,230661.83,662035.91,945027.13,1131281.93,1171880.71
D415,Central Catholic Jr/Sr High School,Tippecanoe,13321.22,61003.15,213206.22,488156.10,614617.63,712610.31
C625,Central Catholic School,Marion,197276.02,342427.45,678579.94,789499.28,989093.80,1120072.64
A249,Central Christian School,Allen,39387.61,181726.59,328872.26,376867.79,364981.36,363626.86
A370,Central Lutheran School,Allen,,,,380124.04,564067.12,555484.47
C585,Christ The King School,Marion,61363.04,128126.85,224621.47,402496.21,397437.10,386219.52
D230,Christ The King School,St Joseph,7659.91,64858.20,170485.64,346340.50,468350.74,517391.05
D545,Christ The King School,Vanderburgh,17848.24,58942.00,131338.01,136228.88,184072.00,200506.97
B045,Christian Academy of Indiana,Floyd,70176.98,187613.21,421542.44,702830.85,852348.47,928983.89
B493,Christian Academy of Madison,Jefferson,28760.41,166991.03,222346.81,259195.58,225024.73,253358.58
B195,Cicero Adventist School,Hamilton,,19625.00,,,,
B985,City Baptist Schools,Lake,,48000.00,,,,
C933,Clear Creek Christian School,Monroe,7861.89,43985.60,81439.41,129069.58,150432.06,145369.58
A479,ClearView Education,Boone,,4479.97,,,,
A875,Clinton Christian School,Elkhart,,66907.96,150622.82,343419.18,463063.59,560450.14
C495,Colonial Christian School,Marion,,,77686.25,228545.58,339536.74,372805.88
A450,Columbus Christian School Inc.,Bartholomew,129069.42,240417.24,437016.37,598088.98,508157.11,536407.05
D305,Community Baptist Christian School,St. Joseph,,,212384.89,378415.17,428243.66,461160.24
D862,Community Christian School,Wayne,11384.00,47052.82,126964.44,163354.94,190664.97,162348.77
A205,Concordia Evangelical Lutheran School,Allen,,158532.72,299761.40,712400.07,863062.67,981922.60
A195,Concordia Lutheran High School,Allen,101697.49,228618.13,440973.26,1363284.94,1630798.45,1826148.62
C281,Cornerstone Baptist Academy,Marion,,,281636.92,273681.29,368956.47,377826.79
