IDOE_CORPORATION_ID,CORPORATION_NAME,IDOE_SCHOOL_ID,SCHOOL_NAME,2016 Grade
9200,Archdiocese of Indianapolis,A425,St Bartholomew School,A
9200,Archdiocese of Indianapolis,A550,St John Paul II Catholic School,B
9200,Archdiocese of Indianapolis,A560,Saint Anthony School,A
9200,Archdiocese of Indianapolis,A570,Sacred Heart School,A
9200,Archdiocese of Indianapolis,A575,Our Lady Of Providence High School,A
9200,Archdiocese of Indianapolis,A680,Saint Nicholas School,A
9200,Archdiocese of Indianapolis,A685,Saint Paul Catholic School,C
9200,Archdiocese of Indianapolis,A690,Saint Mary School,B
9200,Archdiocese of Indianapolis,A700,Saint Lawrence School,C
9200,Archdiocese of Indianapolis,A730,Saint Mary School,A
9200,Archdiocese of Indianapolis,B035,St Gabriel Parochial School,A
9200,Archdiocese of Indianapolis,B050,Holy Family School,B
9200,Archdiocese of Indianapolis,B060,Our Lady Of Perpetual School,A
9200,Archdiocese of Indianapolis,B067,St Mary of-the-Knobs Catholic Sch,A
9200,Archdiocese of Indianapolis,B095,Saint Michael School,A
9200,Archdiocese of Indianapolis,B265,Saint Michael School,A
9200,Archdiocese of Indianapolis,B280,Saint Joseph School,B
9200,Archdiocese of Indianapolis,B285,Saint Malachy School,A
9200,Archdiocese of Indianapolis,B300,Saint Susanna School,A
9200,Archdiocese of Indianapolis,B440,Saint Ambrose School,A
9200,Archdiocese of Indianapolis,B505,Shawe Memorial High School,B
9200,Archdiocese of Indianapolis,B510,Pope John XXIII School,C
9200,Archdiocese of Indianapolis,B515,Saint Mary School,A
9200,Archdiocese of Indianapolis,B518,St Rose of Lima School,B
9200,Archdiocese of Indianapolis,B535,Our Lady Of Greenwood School,B
9200,Archdiocese of Indianapolis,B540,SS Francis and Clare Catholic Sch,A
9200,Archdiocese of Indianapolis,C160,Saint Vincent DePaul School,A
9200,Archdiocese of Indianapolis,C265,Nativity School,A
9200,Archdiocese of Indianapolis,C280,Saint Lawrence School,C
9200,Archdiocese of Indianapolis,C295,Saint Barnabas School,A
9200,Archdiocese of Indianapolis,C300,Saint Jude Elementary School,A
9200,Archdiocese of Indianapolis,C305,Saint Mark School,B
9200,Archdiocese of Indianapolis,C310,Saint Roch School,A
9200,Archdiocese of Indianapolis,C320,Roncalli High School,A
9200,Archdiocese of Indianapolis,C360,Brebeuf Jesuit Preparatory School,A
9200,Archdiocese of Indianapolis,C390,Holy Spirit School,B
9200,Archdiocese of Indianapolis,C435,Saint Luke School,A
9200,Archdiocese of Indianapolis,C440,Saint Matthew School,A
9200,Archdiocese of Indianapolis,C445,Saint Monica School,B
9200,Archdiocese of Indianapolis,C450,Saint Pius X School,A
9200,Archdiocese of Indianapolis,C545,Holy Name School,B
9200,Archdiocese of Indianapolis,C585,Christ The King School,A
9200,Archdiocese of Indianapolis,C590,Holy Angels Catholic School,D
9200,Archdiocese of Indianapolis,C595,Holy Cross Central School,F
9200,Archdiocese of Indianapolis,C600,Immaculate Heart of Mary School,B
9200,Archdiocese of Indianapolis,C605,Our Lady Of Lourdes School,C
9200,Archdiocese of Indianapolis,C615,St Anthony Catholic School,C
9200,Archdiocese of Indianapolis,C623,Providence Cristo Rey High School,B
9200,Archdiocese of Indianapolis,C625,Central Catholic School,F
9200,Archdiocese of Indianapolis,C645,Saint Joan Of Arc School,A
9200,Archdiocese of Indianapolis,C650,St Michael The Archangel School,B
9200,Archdiocese of Indianapolis,C655,Saint Philip Neri School,D
9200,Archdiocese of Indianapolis,C665,Saint Simon The Apostle School,A
9200,Archdiocese of Indianapolis,C670,St Therese Little Flower School,C
9200,Archdiocese of Indianapolis,C675,Saint Thomas Aquinas School,B
9200,Archdiocese of Indianapolis,C700,Cathedral High School,A
9200,Archdiocese of Indianapolis,C705,Bishop Chatard High School,A
9200,Archdiocese of Indianapolis,C710,Scecina Memorial School,B
9200,Archdiocese of Indianapolis,C715,Cardinal Ritter High School,B
9200,Archdiocese of Indianapolis,C795,Saint Christopher School,A
9200,Archdiocese of Indianapolis,C900,Saint Charles Boromeo School,A
9200,Archdiocese of Indianapolis,D130,Saint Louis School,A
9200,Archdiocese of Indianapolis,D135,Oldenburg Academy,A
9200,Archdiocese of Indianapolis,D140,Saint Mary Elementary School,B
9200,Archdiocese of Indianapolis,D335,Saint Joseph School,C
9200,Archdiocese of Indianapolis,D720,Saint Patrick School,A
9200,Archdiocese of Indianapolis,D840,St Elizabeth Ann Seton E & W,A
9200,Archdiocese of Indianapolis,D842,Seton Catholic High School,B
9205,Diocese of Gary,B755,Aquinas School at St Andrew's,B
9205,Diocese of Gary,B760,Andrean High School,A
9205,Diocese of Gary,B775,Saint Michael School,B
9205,Diocese of Gary,B780,Saint John Evangelist School,A
9205,Diocese of Gary,B835,Saint Mary Catholic Comm School,B
9205,Diocese of Gary,B865,St Stanislaus School,C
9205,Diocese of Gary,B930,Saint Mary School,B
9205,Diocese of Gary,B950,Saint Casimir School,C
9205,Diocese of Gary,B960,Saint John Bosco School,B
9205,Diocese of Gary,B965,Saint John The Baptist School,C
9205,Diocese of Gary,B970,Bishop Noll Institute,B
9205,Diocese of Gary,C025,Our Lady Of Grace School,B
9205,Diocese of Gary,C060,Saint Thomas More School,A
9205,Diocese of Gary,C105,Notre Dame Elementary School,A
9205,Diocese of Gary,C110,Queen Of All Saints School,A
9205,Diocese of Gary,C120,Saint Stanislaus Kostka School,B
9205,Diocese of Gary,C125,Marquette Catholic High School,B
9205,Diocese of Gary,D050,Saint Patrick School,A
9205,Diocese of Gary,D065,Nativity of Our Savior School,A
9205,Diocese of Gary,D085,Saint Paul Catholic School,A
9210,Diocese of Lafayette Catholic Sch,A470,Sacred Heart School,A
9210,Diocese of Lafayette Catholic Sch,A790,Saint Lawrence School,A
9210,Diocese of Lafayette Catholic Sch,A795,Saint Mary School,B
9210,Diocese of Lafayette Catholic Sch,B155,Saint Paul Parish School,B
9210,Diocese of Lafayette Catholic Sch,B215,Our Lady Of Mt Carmel School,A
9210,Diocese of Lafayette Catholic Sch,B216,Saint Maria Goretti School,A
9210,Diocese of Lafayette Catholic Sch,B227,Saint Louis de Montfort School,A
9210,Diocese of Lafayette Catholic Sch,B246,Our Lady of Grace School,A
9210,Diocese of Lafayette Catholic Sch,B249,Guerin Catholic High School,A
9210,Diocese of Lafayette Catholic Sch,B395,Sts Joan of Arc & Patrick School,B
9210,Diocese of Lafayette Catholic Sch,B475,Saint Augustine School,A
9210,Diocese of Lafayette Catholic Sch,C190,Saint Mary School,C
9210,Diocese of Lafayette Catholic Sch,C205,Saint Ambrose School,B
9210,Diocese of Lafayette Catholic Sch,C210,Saint Mary School,B
