Corp. No.,Corporation Name,School No.,School Name,Voucher students from this district (2016-2017)
15,Adams Central Community Schools,A035,Saint Joseph School,16
5265,Alexandria Community School Corporation,C175,Indiana Christian Academy,
5265,Alexandria Community School Corporation,B145,Lakeview Christian School,
5265,Alexandria Community School Corporation,C226,Liberty Christian Elementary,
5265,Alexandria Community School Corporation,C225,Liberty Christian School,
5265,Alexandria Community School Corporation,A795,Saint Mary School,
5265,Alexandria Community School Corporation,C190,Saint Mary School,38
5275,Anderson Community School Corporation,C250,Anderson Christian School,36
5275,Anderson Community School Corporation,C700,Cathedral High School,
5275,Anderson Community School Corporation,C215,Cross Street Christian School,28
5275,Anderson Community School Corporation,B009,Crossing Educational Center,
5275,Anderson Community School Corporation,B249,Guerin Catholic High School,
5275,Anderson Community School Corporation,A746,Heritage Hall Christian School,
5275,Anderson Community School Corporation,C211,Holy Cross School,158
5275,Anderson Community School Corporation,B190,Indiana Academy,
5275,Anderson Community School Corporation,C175,Indiana Christian Academy,159
5275,Anderson Community School Corporation,C226,Liberty Christian Elementary,179
5275,Anderson Community School Corporation,C225,Liberty Christian School,112
5275,Anderson Community School Corporation,A795,Saint Mary School,
5275,Anderson Community School Corporation,C190,Saint Mary School,
5470,Argos Community Schools,C855,Saint Michael School,
2435,Attica Consolidated School Corporation,D435,Saint James Lutheran School,
3315,Avon Community School Corporation,B290,Bethesda Christian School,18
3315,Avon Community School Corporation,C360,Brebeuf Jesuit Preparatory School,
3315,Avon Community School Corporation,C580,Calvary Christian School,
3315,Avon Community School Corporation,C715,Cardinal Ritter High School,
3315,Avon Community School Corporation,C700,Cathedral High School,
3315,Avon Community School Corporation,C527,Covenant Christian High School,22
3315,Avon Community School Corporation,C514,Crosspointe Christian Academy,
3315,Avon Community School Corporation,C275,Heritage Christian School,
3315,Avon Community School Corporation,B302,Islamic School of Plainfield,
3315,Avon Community School Corporation,B295,Kingsway Christian School,51
3315,Avon Community School Corporation,C512,Our Shepherd Lutheran School,
3315,Avon Community School Corporation,C791,Project Libertas,
3315,Avon Community School Corporation,C623,Providence Cristo Rey High School,
3315,Avon Community School Corporation,C615,Saint Anthony Catholic School,
3315,Avon Community School Corporation,C795,Saint Christopher School,
3315,Avon Community School Corporation,B285,Saint Malachy School,
3315,Avon Community School Corporation,C650,Saint Michael The Archangel School,
3315,Avon Community School Corporation,C445,Saint Monica School,
3315,Avon Community School Corporation,B300,Saint Susanna School,18
3315,Avon Community School Corporation,C773,The Oaks Academy,
3315,Avon Community School Corporation,C375,Traders Point Christian Academy,
1315,Barr-Reeve Community Schools,A660,Washington Catholic Middle/High School,
365,Bartholomew Consolidated School Corporation,A450,Columbus Christian School Inc.,91
365,Bartholomew Consolidated School Corporation,B445,Immanuel Lutheran School,
365,Bartholomew Consolidated School Corporation,B190,Indiana Academy,
365,Bartholomew Consolidated School Corporation,A405,North Star Montessori School,16
365,Bartholomew Consolidated School Corporation,C320,Roncalli High School,
365,Bartholomew Consolidated School Corporation,A425,Saint Bartholomew School,114
365,Bartholomew Consolidated School Corporation,A435,Saint Peter Lutheran School,108
365,Bartholomew Consolidated School Corporation,B455,Seymour Christian Academy,
365,Bartholomew Consolidated School Corporation,B452,Trinity Lutheran High School,
365,Bartholomew Consolidated School Corporation,A430,White Creek Lutheran School,11
6895,Batesville Community School Corporation,D135,Oldenburg Academy,11
6895,Batesville Community School Corporation,D130,Saint Louis School,73
6895,Batesville Community School Corporation,A680,Saint Nicholas School,
2260,Baugo Community Schools,B009,Crossing Educational Center,
2260,Baugo Community Schools,A990,Elkhart Christian Academy,14
2260,Baugo Community Schools,D177,Mishawaka Catholic School,
2260,Baugo Community Schools,D164,Saint Pius X Catholic School,
2260,Baugo Community Schools,A980,Saint Vincent DePaul School,
5380,Beech Grove City Schools,C575,Baptist Academy,
5380,Beech Grove City Schools,C315,Calvary Lutheran School,
5380,Beech Grove City Schools,C700,Cathedral High School,
5380,Beech Grove City Schools,C625,Central Catholic School,
5380,Beech Grove City Schools,C275,Heritage Christian School,
5380,Beech Grove City Schools,C595,Holy Cross Central School,
5380,Beech Grove City Schools,C545,Holy Name School,42
5380,Beech Grove City Schools,C390,Holy Spirit School,
5380,Beech Grove City Schools,C270,Lutheran High School,
5380,Beech Grove City Schools,C265,Nativity School,
5380,Beech Grove City Schools,C320,Roncalli High School,19
5380,Beech Grove City Schools,C400,Saint John Evangelical Lutheran School,
5380,Beech Grove City Schools,C310,Saint Roch School,
5380,Beech Grove City Schools,B540,Saints Francis and Clare Catholic School,
5380,Beech Grove City Schools,C710,Scecina Memorial School,
5380,Beech Grove City Schools,C349,Southport Presbyterian Christian School,
5380,Beech Grove City Schools,C325,Suburban Christian School,
5380,Beech Grove City Schools,C773,The Oaks Academy,
